#\delta	Number of cells	Cumulative
-0.98475	0	0
-0.96950	0	0
-0.95425	0	0
-0.93900	0	0
-0.92375	0	0
-0.90850	0	0
-0.89325	0	0
-0.87800	0	0
-0.86275	2	2
-0.84750	1	3
-0.83225	3	6
-0.81700	8	14
-0.80175	4	18
-0.78650	9	27
-0.77125	12	39
-0.75600	9	48
-0.74075	11	59
-0.72550	15	74
-0.71025	21	95
-0.69500	26	121
-0.67975	21	142
-0.66450	21	163
-0.64925	21	184
-0.63400	27	211
-0.61875	19	230
-0.60350	36	266
-0.58825	29	295
-0.57300	35	330
-0.55775	30	360
-0.54250	40	400
-0.52725	31	431
-0.51200	22	453
-0.49675	34	487
-0.48150	44	531
-0.46625	38	569
-0.45100	51	620
-0.43575	44	664
-0.42050	63	727
-0.40525	32	759
-0.39000	44	803
-0.37475	37	840
-0.35950	44	884
-0.34425	44	928
-0.32900	52	980
-0.31375	42	1022
-0.29850	39	1061
-0.28325	51	1112
-0.26800	61	1173
-0.25275	53	1226
-0.23750	59	1285
-0.22225	44	1329
-0.20700	52	1381
-0.19175	53	1434
-0.17650	44	1478
-0.16125	47	1525
-0.14600	53	1578
-0.13075	53	1631
-0.11550	58	1689
-0.10025	53	1742
-0.08500	63	1805
-0.06975	45	1850
-0.05450	58	1908
-0.03925	57	1965
-0.02400	58	2023
-0.00875	54	2077
0.00650	51	2128
0.02175	53	2181
0.03700	54	2235
0.05225	63	2298
0.06750	55	2353
0.08275	61	2414
0.09800	68	2482
0.11325	77	2559
0.12850	67	2626
0.14375	66	2692
0.15900	56	2748
0.17425	65	2813
0.18950	66	2879
0.20475	63	2942
0.22000	69	3011
0.23525	43	3054
0.25050	57	3111
0.26575	62	3173
0.28100	56	3229
0.29625	53	3282
0.31150	62	3344
0.32675	52	3396
0.34200	52	3448
0.35725	52	3500
0.37250	70	3570
0.38775	61	3631
0.40300	54	3685
0.41825	67	3752
0.43350	66	3818
0.44875	59	3877
0.46400	65	3942
0.47925	46	3988
0.49450	55	4043
0.50975	53	4096
0.52500	64	4160
0.54025	61	4221
0.55550	62	4283
0.57075	72	4355
0.58600	61	4416
0.60125	60	4476
0.61650	56	4532
0.63175	74	4606
0.64700	69	4675
0.66225	65	4740
0.67750	54	4794
0.69275	52	4846
0.70800	65	4911
0.72325	63	4974
0.73850	66	5040
0.75375	59	5099
0.76900	59	5158
0.78425	64	5222
0.79950	66	5288
0.81475	52	5340
0.83000	69	5409
0.84525	57	5466
0.86050	55	5521
0.87575	61	5582
0.89100	68	5650
0.90625	67	5717
0.92150	62	5779
0.93675	58	5837
0.95200	69	5906
0.96725	60	5966
0.98250	59	6025
0.99775	64	6089
1.01300	64	6153
1.02825	60	6213
1.04350	51	6264
1.05875	59	6323
1.07400	48	6371
1.08925	59	6430
1.10450	48	6478
1.11975	66	6544
1.13500	53	6597
1.15025	60	6657
1.16550	55	6712
1.18075	52	6764
1.19600	59	6823
1.21125	44	6867
1.22650	56	6923
1.24175	66	6989
1.25700	72	7061
1.27225	52	7113
1.28750	62	7175
1.30275	51	7226
1.31800	57	7283
1.33325	51	7334
1.34850	49	7383
1.36375	49	7432
1.37900	47	7479
1.39425	58	7537
1.40950	55	7592
1.42475	58	7650
1.44000	60	7710
1.45525	52	7762
1.47050	62	7824
1.48575	54	7878
1.50100	57	7935
1.51625	58	7993
1.53150	79	8072
1.54675	48	8120
1.56200	44	8164
1.57725	39	8203
1.59250	47	8250
1.60775	52	8302
1.62300	55	8357
1.63825	64	8421
1.65350	55	8476
1.66875	45	8521
1.68400	57	8578
1.69925	57	8635
1.71450	47	8682
1.72975	51	8733
1.74500	52	8785
1.76025	59	8844
1.77550	62	8906
1.79075	54	8960
1.80600	53	9013
1.82125	57	9070
1.83650	55	9125
1.85175	46	9171
1.86700	56	9227
1.88225	47	9274
1.89750	46	9320
1.91275	44	9364
1.92800	41	9405
1.94325	62	9467
1.95850	42	9509
1.97375	53	9562
1.98900	40	9602
2.00425	50	9652
2.01950	47	9699
2.03475	49	9748
2.05000	36	9784
2.06525	36	9820
2.08050	51	9871
2.09575	62	9933
2.11100	40	9973
2.12625	56	10029
2.14150	43	10072
2.15675	54	10126
2.17200	37	10163
2.18725	41	10204
2.20250	45	10249
2.21775	40	10289
2.23300	43	10332
2.24825	39	10371
2.26350	51	10422
2.27875	44	10466
2.29400	48	10514
2.30925	43	10557
2.32450	43	10600
2.33975	49	10649
2.35500	47	10696
2.37025	46	10742
2.38550	47	10789
2.40075	53	10842
2.41600	47	10889
2.43125	33	10922
2.44650	37	10959
2.46175	51	11010
2.47700	45	11055
2.49225	40	11095
2.50750	42	11137
2.52275	42	11179
2.53800	45	11224
2.55325	44	11268
2.56850	49	11317
2.58375	49	11366
2.59900	48	11414
2.61425	41	11455
2.62950	39	11494
2.64475	46	11540
2.66000	35	11575
2.67525	44	11619
2.69050	54	11673
2.70575	40	11713
2.72100	25	11738
2.73625	44	11782
2.75150	38	11820
2.76675	43	11863
2.78200	39	11902
2.79725	45	11947
2.81250	48	11995
2.82775	30	12025
2.84300	32	12057
2.85825	43	12100
2.87350	37	12137
2.88875	47	12184
2.90400	30	12214
2.91925	36	12250
2.93450	33	12283
2.94975	45	12328
2.96500	39	12367
2.98025	30	12397
2.99550	43	12440
3.01075	40	12480
3.02600	31	12511
3.04125	31	12542
3.05650	36	12578
3.07175	51	12629
3.08700	32	12661
3.10225	42	12703
3.11750	42	12745
3.13275	49	12794
3.14800	34	12828
3.16325	27	12855
3.17850	41	12896
3.19375	40	12936
3.20900	34	12970
3.22425	38	13008
3.23950	39	13047
3.25475	34	13081
3.27000	39	13120
3.28525	23	13143
3.30050	32	13175
3.31575	34	13209
3.33100	27	13236
3.34625	32	13268
3.36150	34	13302
3.37675	31	13333
3.39200	29	13362
3.40725	39	13401
3.42250	27	13428
3.43775	31	13459
3.45300	23	13482
3.46825	28	13510
3.48350	32	13542
3.49875	26	13568
3.51400	32	13600
3.52925	28	13628
3.54450	38	13666
3.55975	31	13697
