#\delta	Number of cells	Cumulative
-0.98475	0	0
-0.96950	0	0
-0.95425	0	0
-0.93900	0	0
-0.92375	0	0
-0.90850	0	0
-0.89325	0	0
-0.87800	0	0
-0.86275	2	2
-0.84750	1	3
-0.83225	3	6
-0.81700	7	13
-0.80175	3	16
-0.78650	8	24
-0.77125	10	34
-0.75600	9	43
-0.74075	10	53
-0.72550	15	68
-0.71025	19	87
-0.69500	25	112
-0.67975	21	133
-0.66450	19	152
-0.64925	17	169
-0.63400	26	195
-0.61875	18	213
-0.60350	33	246
-0.58825	26	272
-0.57300	33	305
-0.55775	29	334
-0.54250	39	373
-0.52725	29	402
-0.51200	22	424
-0.49675	32	456
-0.48150	40	496
-0.46625	38	534
-0.45100	46	580
-0.43575	44	624
-0.42050	59	683
-0.40525	31	714
-0.39000	41	755
-0.37475	33	788
-0.35950	42	830
-0.34425	40	870
-0.32900	50	920
-0.31375	38	958
-0.29850	36	994
-0.28325	48	1042
-0.26800	54	1096
-0.25275	52	1148
-0.23750	56	1204
-0.22225	42	1246
-0.20700	49	1295
-0.19175	51	1346
-0.17650	41	1387
-0.16125	43	1430
-0.14600	49	1479
-0.13075	47	1526
-0.11550	54	1580
-0.10025	49	1629
-0.08500	59	1688
-0.06975	42	1730
-0.05450	52	1782
-0.03925	53	1835
-0.02400	54	1889
-0.00875	50	1939
0.00650	47	1986
0.02175	52	2038
0.03700	51	2089
0.05225	58	2147
0.06750	51	2198
0.08275	56	2254
0.09800	61	2315
0.11325	72	2387
0.12850	58	2445
0.14375	59	2504
0.15900	51	2555
0.17425	61	2616
0.18950	64	2680
0.20475	59	2739
0.22000	64	2803
0.23525	41	2844
0.25050	56	2900
0.26575	57	2957
0.28100	52	3009
0.29625	51	3060
0.31150	60	3120
0.32675	45	3165
0.34200	47	3212
0.35725	51	3263
0.37250	67	3330
0.38775	59	3389
0.40300	51	3440
0.41825	60	3500
0.43350	64	3564
0.44875	53	3617
0.46400	62	3679
0.47925	42	3721
0.49450	53	3774
0.50975	51	3825
0.52500	59	3884
0.54025	58	3942
0.55550	61	4003
0.57075	65	4068
0.58600	56	4124
0.60125	54	4178
0.61650	54	4232
0.63175	71	4303
0.64700	63	4366
0.66225	62	4428
0.67750	53	4481
0.69275	47	4528
0.70800	61	4589
0.72325	62	4651
0.73850	62	4713
0.75375	52	4765
0.76900	56	4821
0.78425	56	4877
0.79950	65	4942
0.81475	48	4990
0.83000	66	5056
0.84525	54	5110
0.86050	53	5163
0.87575	58	5221
0.89100	61	5282
0.90625	66	5348
0.92150	59	5407
0.93675	58	5465
0.95200	61	5526
0.96725	54	5580
0.98250	56	5636
0.99775	61	5697
1.01300	61	5758
1.02825	57	5815
1.04350	47	5862
1.05875	54	5916
1.07400	47	5963
1.08925	56	6019
1.10450	45	6064
1.11975	60	6124
1.13500	52	6176
1.15025	58	6234
1.16550	54	6288
1.18075	46	6334
1.19600	56	6390
1.21125	40	6430
1.22650	53	6483
1.24175	58	6541
1.25700	70	6611
1.27225	50	6661
1.28750	61	6722
1.30275	47	6769
1.31800	53	6822
1.33325	48	6870
1.34850	49	6919
1.36375	45	6964
1.37900	45	7009
1.39425	53	7062
1.40950	52	7114
1.42475	56	7170
1.44000	57	7227
1.45525	48	7275
1.47050	56	7331
1.48575	51	7382
1.50100	53	7435
1.51625	56	7491
1.53150	74	7565
1.54675	46	7611
1.56200	42	7653
1.57725	35	7688
1.59250	45	7733
1.60775	48	7781
1.62300	53	7834
1.63825	60	7894
1.65350	51	7945
1.66875	45	7990
1.68400	56	8046
1.69925	55	8101
1.71450	42	8143
1.72975	48	8191
1.74500	51	8242
1.76025	54	8296
1.77550	60	8356
1.79075	51	8407
1.80600	51	8458
1.82125	52	8510
1.83650	53	8563
1.85175	46	8609
1.86700	51	8660
1.88225	45	8705
1.89750	45	8750
1.91275	43	8793
1.92800	39	8832
1.94325	59	8891
1.95850	38	8929
1.97375	52	8981
1.98900	36	9017
2.00425	47	9064
2.01950	42	9106
2.03475	44	9150
2.05000	31	9181
2.06525	30	9211
2.08050	45	9256
2.09575	59	9315
2.11100	37	9352
2.12625	53	9405
2.14150	42	9447
2.15675	53	9500
2.17200	36	9536
2.18725	39	9575
2.20250	43	9618
2.21775	38	9656
2.23300	42	9698
2.24825	37	9735
2.26350	47	9782
2.27875	42	9824
2.29400	45	9869
2.30925	38	9907
2.32450	39	9946
2.33975	46	9992
2.35500	44	10036
2.37025	43	10079
2.38550	44	10123
2.40075	50	10173
2.41600	44	10217
2.43125	33	10250
2.44650	36	10286
2.46175	49	10335
2.47700	43	10378
2.49225	35	10413
2.50750	38	10451
2.52275	40	10491
2.53800	45	10536
2.55325	41	10577
2.56850	45	10622
2.58375	45	10667
2.59900	45	10712
2.61425	37	10749
2.62950	39	10788
2.64475	42	10830
2.66000	31	10861
2.67525	42	10903
2.69050	50	10953
2.70575	38	10991
2.72100	23	11014
2.73625	42	11056
2.75150	37	11093
2.76675	41	11134
2.78200	37	11171
2.79725	42	11213
2.81250	45	11258
2.82775	28	11286
2.84300	27	11313
2.85825	41	11354
2.87350	36	11390
2.88875	42	11432
2.90400	28	11460
2.91925	30	11490
2.93450	33	11523
2.94975	44	11567
2.96500	38	11605
2.98025	28	11633
2.99550	42	11675
3.01075	38	11713
3.02600	29	11742
3.04125	30	11772
3.05650	31	11803
3.07175	47	11850
3.08700	32	11882
3.10225	38	11920
3.11750	40	11960
3.13275	47	12007
3.14800	34	12041
3.16325	26	12067
3.17850	34	12101
3.19375	36	12137
3.20900	31	12168
3.22425	37	12205
3.23950	38	12243
3.25475	32	12275
3.27000	38	12313
3.28525	22	12335
3.30050	30	12365
3.31575	33	12398
3.33100	26	12424
3.34625	28	12452
3.36150	33	12485
3.37675	29	12514
3.39200	27	12541
3.40725	36	12577
3.42250	26	12603
3.43775	28	12631
3.45300	22	12653
3.46825	27	12680
3.48350	29	12709
3.49875	24	12733
3.51400	30	12763
3.52925	27	12790
3.54450	35	12825
3.55975	26	12851
