#\delta	Number of cells	Cumulative
-0.98475	0	0
-0.96950	0	0
-0.95425	0	0
-0.93900	0	0
-0.92375	0	0
-0.90850	0	0
-0.89325	0	0
-0.87800	0	0
-0.86275	0	0
-0.84750	0	0
-0.83225	0	0
-0.81700	0	0
-0.80175	1	1
-0.78650	1	2
-0.77125	0	2
-0.75600	0	2
-0.74075	0	2
-0.72550	2	4
-0.71025	2	6
-0.69500	4	10
-0.67975	3	13
-0.66450	1	14
-0.64925	4	18
-0.63400	3	21
-0.61875	2	23
-0.60350	5	28
-0.58825	3	31
-0.57300	2	33
-0.55775	6	39
-0.54250	5	44
-0.52725	5	49
-0.51200	4	53
-0.49675	2	55
-0.48150	4	59
-0.46625	5	64
-0.45100	7	71
-0.43575	6	77
-0.42050	14	91
-0.40525	5	96
-0.39000	4	100
-0.37475	2	102
-0.35950	4	106
-0.34425	7	113
-0.32900	4	117
-0.31375	9	126
-0.29850	7	133
-0.28325	9	142
-0.26800	7	149
-0.25275	9	158
-0.23750	8	166
-0.22225	4	170
-0.20700	8	178
-0.19175	14	192
-0.17650	7	199
-0.16125	12	211
-0.14600	7	218
-0.13075	5	223
-0.11550	7	230
-0.10025	10	240
-0.08500	8	248
-0.06975	4	252
-0.05450	5	257
-0.03925	4	261
-0.02400	10	271
-0.00875	7	278
0.00650	6	284
0.02175	9	293
0.03700	6	299
0.05225	6	305
0.06750	10	315
0.08275	10	325
0.09800	5	330
0.11325	15	345
0.12850	10	355
0.14375	10	365
0.15900	10	375
0.17425	3	378
0.18950	10	388
0.20475	12	400
0.22000	9	409
0.23525	10	419
0.25050	8	427
0.26575	5	432
0.28100	12	444
0.29625	12	456
0.31150	10	466
0.32675	6	472
0.34200	4	476
0.35725	8	484
0.37250	7	491
0.38775	11	502
0.40300	8	510
0.41825	11	521
0.43350	12	533
0.44875	5	538
0.46400	8	546
0.47925	6	552
0.49450	7	559
0.50975	4	563
0.52500	14	577
0.54025	8	585
0.55550	10	595
0.57075	10	605
0.58600	5	610
0.60125	5	615
0.61650	7	622
0.63175	8	630
0.64700	7	637
0.66225	11	648
0.67750	10	658
0.69275	12	670
0.70800	3	673
0.72325	6	679
0.73850	10	689
0.75375	8	697
0.76900	5	702
0.78425	4	706
0.79950	16	722
0.81475	7	729
0.83000	12	741
0.84525	8	749
0.86050	8	757
0.87575	11	768
0.89100	7	775
0.90625	6	781
0.92150	12	793
0.93675	7	800
0.95200	8	808
0.96725	10	818
0.98250	13	831
0.99775	9	840
1.01300	9	849
1.02825	7	856
1.04350	8	864
1.05875	9	873
1.07400	9	882
1.08925	8	890
1.10450	3	893
1.11975	8	901
1.13500	7	908
1.15025	7	915
1.16550	4	919
1.18075	9	928
1.19600	6	934
1.21125	8	942
1.22650	7	949
1.24175	8	957
1.25700	8	965
1.27225	11	976
1.28750	14	990
1.30275	5	995
1.31800	4	999
1.33325	4	1003
1.34850	7	1010
1.36375	5	1015
1.37900	7	1022
1.39425	15	1037
1.40950	14	1051
1.42475	8	1059
1.44000	7	1066
1.45525	4	1070
1.47050	9	1079
1.48575	7	1086
1.50100	15	1101
1.51625	5	1106
1.53150	8	1114
1.54675	9	1123
1.56200	8	1131
1.57725	4	1135
1.59250	7	1142
1.60775	15	1157
1.62300	6	1163
1.63825	9	1172
1.65350	6	1178
1.66875	5	1183
1.68400	3	1186
1.69925	9	1195
1.71450	4	1199
1.72975	8	1207
1.74500	4	1211
1.76025	5	1216
1.77550	10	1226
1.79075	11	1237
1.80600	10	1247
1.82125	7	1254
1.83650	9	1263
1.85175	4	1267
1.86700	6	1273
1.88225	9	1282
1.89750	8	1290
1.91275	4	1294
1.92800	7	1301
1.94325	15	1316
1.95850	8	1324
1.97375	5	1329
1.98900	7	1336
2.00425	12	1348
2.01950	5	1353
2.03475	6	1359
2.05000	4	1363
2.06525	6	1369
2.08050	3	1372
2.09575	10	1382
2.11100	6	1388
2.12625	9	1397
2.14150	9	1406
2.15675	6	1412
2.17200	5	1417
2.18725	7	1424
2.20250	3	1427
2.21775	3	1430
2.23300	6	1436
2.24825	6	1442
2.26350	2	1444
2.27875	3	1447
2.29400	4	1451
2.30925	7	1458
2.32450	2	1460
2.33975	9	1469
2.35500	7	1476
2.37025	5	1481
2.38550	2	1483
2.40075	8	1491
2.41600	7	1498
2.43125	5	1503
2.44650	6	1509
2.46175	3	1512
2.47700	6	1518
2.49225	4	1522
2.50750	5	1527
2.52275	4	1531
2.53800	9	1540
2.55325	6	1546
2.56850	7	1553
2.58375	9	1562
2.59900	9	1571
2.61425	8	1579
2.62950	6	1585
2.64475	4	1589
2.66000	2	1591
2.67525	8	1599
2.69050	10	1609
2.70575	5	1614
2.72100	6	1620
2.73625	7	1627
2.75150	2	1629
2.76675	6	1635
2.78200	6	1641
2.79725	9	1650
2.81250	2	1652
2.82775	6	1658
2.84300	10	1668
2.85825	10	1678
2.87350	2	1680
2.88875	7	1687
2.90400	4	1691
2.91925	5	1696
2.93450	4	1700
2.94975	2	1702
2.96500	7	1709
2.98025	5	1714
2.99550	8	1722
3.01075	7	1729
3.02600	6	1735
3.04125	8	1743
3.05650	2	1745
3.07175	7	1752
3.08700	1	1753
3.10225	9	1762
3.11750	5	1767
3.13275	9	1776
3.14800	3	1779
3.16325	4	1783
3.17850	8	1791
3.19375	9	1800
3.20900	6	1806
3.22425	5	1811
3.23950	9	1820
3.25475	7	1827
3.27000	6	1833
3.28525	2	1835
3.30050	3	1838
3.31575	7	1845
3.33100	3	1848
3.34625	5	1853
3.36150	5	1858
3.37675	6	1864
3.39200	5	1869
3.40725	5	1874
3.42250	5	1879
3.43775	5	1884
3.45300	2	1886
3.46825	8	1894
3.48350	6	1900
3.49875	5	1905
3.51400	7	1912
3.52925	5	1917
3.54450	4	1921
3.55975	7	1928
3.57500	3	1931
3.59025	5	1936
3.60550	3	1939
3.62075	4	1943
3.63600	2	1945
3.65125	6	1951
3.66650	1	1952
3.68175	9	1961
3.69700	3	1964
3.71225	11	1975
3.72750	7	1982
