#\delta	Number of cells	Cumulative
-0.98475	0	0
-0.96950	0	0
-0.95425	0	0
-0.93900	0	0
-0.92375	0	0
-0.90850	0	0
-0.89325	0	0
-0.87800	0	0
-0.86275	1	1
-0.84750	0	1
-0.83225	0	1
-0.81700	1	2
-0.80175	1	3
-0.78650	3	6
-0.77125	3	9
-0.75600	4	13
-0.74075	6	19
-0.72550	3	22
-0.71025	5	27
-0.69500	11	38
-0.67975	6	44
-0.66450	4	48
-0.64925	10	58
-0.63400	11	69
-0.61875	8	77
-0.60350	15	92
-0.58825	11	103
-0.57300	11	114
-0.55775	14	128
-0.54250	17	145
-0.52725	14	159
-0.51200	12	171
-0.49675	10	181
-0.48150	22	203
-0.46625	23	226
-0.45100	19	245
-0.43575	20	265
-0.42050	29	294
-0.40525	18	312
-0.39000	20	332
-0.37475	13	345
-0.35950	19	364
-0.34425	18	382
-0.32900	16	398
-0.31375	19	417
-0.29850	22	439
-0.28325	23	462
-0.26800	22	484
-0.25275	27	511
-0.23750	31	542
-0.22225	22	564
-0.20700	29	593
-0.19175	29	622
-0.17650	23	645
-0.16125	24	669
-0.14600	21	690
-0.13075	19	709
-0.11550	23	732
-0.10025	29	761
-0.08500	28	789
-0.06975	15	804
-0.05450	23	827
-0.03925	26	853
-0.02400	26	879
-0.00875	21	900
0.00650	25	925
0.02175	26	951
0.03700	23	974
0.05225	29	1003
0.06750	19	1022
0.08275	32	1054
0.09800	22	1076
0.11325	38	1114
0.12850	24	1138
0.14375	30	1168
0.15900	26	1194
0.17425	25	1219
0.18950	31	1250
0.20475	25	1275
0.22000	27	1302
0.23525	17	1319
0.25050	26	1345
0.26575	33	1378
0.28100	28	1406
0.29625	34	1440
0.31150	27	1467
0.32675	23	1490
0.34200	21	1511
0.35725	26	1537
0.37250	27	1564
0.38775	35	1599
0.40300	29	1628
0.41825	25	1653
0.43350	30	1683
0.44875	22	1705
0.46400	27	1732
0.47925	20	1752
0.49450	26	1778
0.50975	24	1802
0.52500	27	1829
0.54025	22	1851
0.55550	23	1874
0.57075	28	1902
0.58600	28	1930
0.60125	23	1953
0.61650	22	1975
0.63175	38	2013
0.64700	26	2039
0.66225	31	2070
0.67750	26	2096
0.69275	25	2121
0.70800	19	2140
0.72325	23	2163
0.73850	35	2198
0.75375	22	2220
0.76900	25	2245
0.78425	27	2272
0.79950	30	2302
0.81475	24	2326
0.83000	34	2360
0.84525	26	2386
0.86050	31	2417
0.87575	29	2446
0.89100	31	2477
0.90625	29	2506
0.92150	31	2537
0.93675	21	2558
0.95200	35	2593
0.96725	27	2620
0.98250	28	2648
0.99775	22	2670
1.01300	27	2697
1.02825	30	2727
1.04350	18	2745
1.05875	19	2764
1.07400	24	2788
1.08925	28	2816
1.10450	17	2833
1.11975	38	2871
1.13500	22	2893
1.15025	23	2916
1.16550	24	2940
1.18075	28	2968
1.19600	23	2991
1.21125	14	3005
1.22650	27	3032
1.24175	26	3058
1.25700	34	3092
1.27225	23	3115
1.28750	32	3147
1.30275	16	3163
1.31800	20	3183
1.33325	17	3200
1.34850	20	3220
1.36375	19	3239
1.37900	20	3259
1.39425	25	3284
1.40950	34	3318
1.42475	24	3342
1.44000	27	3369
1.45525	22	3391
1.47050	27	3418
1.48575	27	3445
1.50100	28	3473
1.51625	21	3494
1.53150	31	3525
1.54675	28	3553
1.56200	20	3573
1.57725	14	3587
1.59250	18	3605
1.60775	26	3631
1.62300	26	3657
1.63825	26	3683
1.65350	26	3709
1.66875	23	3732
1.68400	22	3754
1.69925	20	3774
1.71450	17	3791
1.72975	29	3820
1.74500	24	3844
1.76025	26	3870
1.77550	34	3904
1.79075	26	3930
1.80600	24	3954
1.82125	25	3979
1.83650	27	4006
1.85175	23	4029
1.86700	24	4053
1.88225	23	4076
1.89750	20	4096
1.91275	22	4118
1.92800	18	4136
1.94325	33	4169
1.95850	19	4188
1.97375	21	4209
1.98900	15	4224
2.00425	26	4250
2.01950	27	4277
2.03475	16	4293
2.05000	13	4306
2.06525	14	4320
2.08050	21	4341
2.09575	26	4367
2.11100	14	4381
2.12625	29	4410
2.14150	19	4429
2.15675	29	4458
2.17200	22	4480
2.18725	22	4502
2.20250	23	4525
2.21775	21	4546
2.23300	21	4567
2.24825	14	4581
2.26350	19	4600
2.27875	19	4619
2.29400	13	4632
2.30925	20	4652
2.32450	16	4668
2.33975	22	4690
2.35500	26	4716
2.37025	18	4734
2.38550	15	4749
2.40075	23	4772
2.41600	20	4792
2.43125	15	4807
2.44650	16	4823
2.46175	19	4842
2.47700	22	4864
2.49225	16	4880
2.50750	14	4894
2.52275	19	4913
2.53800	22	4935
2.55325	20	4955
2.56850	26	4981
2.58375	24	5005
2.59900	17	5022
2.61425	21	5043
2.62950	20	5063
2.64475	12	5075
2.66000	9	5084
2.67525	18	5102
2.69050	26	5128
2.70575	19	5147
2.72100	12	5159
2.73625	19	5178
2.75150	16	5194
2.76675	20	5214
2.78200	15	5229
2.79725	24	5253
2.81250	17	5270
2.82775	14	5284
2.84300	13	5297
2.85825	21	5318
2.87350	13	5331
2.88875	17	5348
2.90400	11	5359
2.91925	12	5371
2.93450	15	5386
2.94975	17	5403
2.96500	14	5417
2.98025	15	5432
2.99550	20	5452
3.01075	20	5472
3.02600	11	5483
3.04125	17	5500
3.05650	13	5513
3.07175	24	5537
3.08700	10	5547
3.10225	15	5562
3.11750	21	5583
3.13275	26	5609
3.14800	14	5623
3.16325	12	5635
3.17850	15	5650
3.19375	24	5674
3.20900	18	5692
3.22425	17	5709
3.23950	18	5727
3.25475	18	5745
3.27000	17	5762
3.28525	9	5771
3.30050	16	5787
3.31575	16	5803
3.33100	8	5811
3.34625	17	5828
3.36150	18	5846
3.37675	15	5861
3.39200	16	5877
3.40725	14	5891
3.42250	14	5905
3.43775	12	5917
3.45300	9	5926
3.46825	13	5939
3.48350	15	5954
3.49875	15	5969
3.51400	19	5988
3.52925	14	6002
3.54450	18	6020
3.55975	12	6032
3.57500	19	6051
3.59025	12	6063
