#\delta	Number of cells	Cumulative
-0.49400	23281	9323712
-0.49200	23113	9346825
-0.49000	23060	9369885
-0.48800	22973	9392858
-0.48600	22782	9415640
-0.48400	22792	9438432
-0.48200	22831	9461263
-0.48000	22348	9483611
-0.47800	22211	9505822
-0.47600	22318	9528140
-0.47400	22136	9550276
-0.47200	22022	9572298
-0.47000	21861	9594159
-0.46800	21631	9615790
-0.46600	21668	9637458
-0.46400	21229	9658687
-0.46200	21331	9680018
-0.46000	21271	9701289
-0.45800	21200	9722489
-0.45600	21150	9743639
-0.45400	20675	9764314
-0.45200	20999	9785313
-0.45000	20548	9805861
-0.44800	20478	9826339
-0.44600	20402	9846741
-0.44400	20070	9866811
-0.44200	20392	9887203
-0.44000	19946	9907149
-0.43800	19907	9927056
-0.43600	19605	9946661
-0.43400	19729	9966390
-0.43200	19772	9986162
-0.43000	19677	10005839
-0.42800	19307	10025146
-0.42600	19379	10044525
-0.42400	19288	10063813
-0.42200	19025	10082838
-0.42000	19074	10101912
-0.41800	19072	10120984
-0.41600	18621	10139605
-0.41400	18432	10158037
-0.41200	18365	10176402
-0.41000	18204	10194606
-0.40800	18074	10212680
-0.40600	18321	10231001
-0.40400	17960	10248961
-0.40200	17933	10266894
-0.40000	17657	10284551
-0.39800	17936	10302487
-0.39600	17592	10320079
-0.39400	17600	10337679
-0.39200	17184	10354863
-0.39000	17560	10372423
-0.38800	17260	10389683
-0.38600	17008	10406691
-0.38400	17173	10423864
-0.38200	16903	10440767
-0.38000	16796	10457563
-0.37800	16767	10474330
-0.37600	16776	10491106
-0.37400	16422	10507528
-0.37200	16658	10524186
-0.37000	16360	10540546
-0.36800	16264	10556810
-0.36600	16247	10573057
-0.36400	16190	10589247
-0.36200	16079	10605326
-0.36000	15789	10621115
-0.35800	15836	10636951
-0.35600	15759	10652710
-0.35400	15701	10668411
-0.35200	15832	10684243
-0.35000	15577	10699820
-0.34800	15474	10715294
-0.34600	15501	10730795
-0.34400	15545	10746340
-0.34200	15282	10761622
-0.34000	15150	10776772
-0.33800	14972	10791744
-0.33600	15105	10806849
-0.33400	14911	10821760
-0.33200	14811	10836571
-0.33000	14821	10851392
-0.32800	14757	10866149
-0.32600	14745	10880894
-0.32400	14511	10895405
-0.32200	14583	10909988
-0.32000	14343	10924331
-0.31800	14398	10938729
-0.31600	14170	10952899
-0.31400	14072	10966971
-0.31200	14107	10981078
-0.31000	14133	10995211
-0.30800	14145	11009356
-0.30600	13911	11023267
-0.30400	13649	11036916
-0.30200	13696	11050612
-0.30000	13469	11064081
-0.29800	13486	11077567
-0.29600	13627	11091194
-0.29400	13507	11104701
-0.29200	13365	11118066
-0.29000	13496	11131562
-0.28800	13205	11144767
-0.28600	13455	11158222
-0.28400	13136	11171358
-0.28200	13263	11184621
-0.28000	13122	11197743
-0.27800	12789	11210532
-0.27600	12786	11223318
-0.27400	12793	11236111
-0.27200	12801	11248912
-0.27000	12514	11261426
-0.26800	12801	11274227
-0.26600	12720	11286947
-0.26400	12433	11299380
-0.26200	12518	11311898
-0.26000	12254	11324152
-0.25800	12279	11336431
-0.25600	12322	11348753
-0.25400	12251	11361004
-0.25200	11984	11372988
-0.25000	12137	11385125
-0.24800	11814	11396939
-0.24600	12056	11408995
-0.24400	11929	11420924
-0.24200	11908	11432832
-0.24000	11663	11444495
-0.23800	11915	11456410
-0.23600	11781	11468191
-0.23400	11690	11479881
-0.23200	11627	11491508
-0.23000	11718	11503226
-0.22800	11447	11514673
-0.22600	11514	11526187
-0.22400	11463	11537650
-0.22200	11440	11549090
-0.22000	11334	11560424
-0.21800	11274	11571698
-0.21600	11280	11582978
-0.21400	11105	11594083
-0.21200	11168	11605251
-0.21000	11025	11616276
-0.20800	10829	11627105
-0.20600	10888	11637993
-0.20400	10799	11648792
-0.20200	10874	11659666
-0.20000	11104	11670770
-0.19800	10618	11681388
-0.19600	10792	11692180
-0.19400	10625	11702805
-0.19200	10563	11713368
-0.19000	10517	11723885
-0.18800	10401	11734286
-0.18600	10473	11744759
-0.18400	10276	11755035
-0.18200	10423	11765458
-0.18000	10344	11775802
-0.17800	10200	11786002
-0.17600	10124	11796126
-0.17400	10147	11806273
-0.17200	10069	11816342
-0.17000	9966	11826308
-0.16800	9962	11836270
-0.16600	9759	11846029
-0.16400	10075	11856104
-0.16200	9884	11865988
-0.16000	10099	11876087
-0.15800	9933	11886020
-0.15600	9733	11895753
-0.15400	9589	11905342
-0.15200	9666	11915008
-0.15000	9665	11924673
-0.14800	9700	11934373
-0.14600	9531	11943904
-0.14400	9433	11953337
-0.14200	9511	11962848
-0.14000	9402	11972250
-0.13800	9398	11981648
-0.13600	9298	11990946
-0.13400	9328	12000274
-0.13200	9223	12009497
-0.13000	9138	12018635
-0.12800	9010	12027645
-0.12600	9015	12036660
-0.12400	9203	12045863
-0.12200	9177	12055040
-0.12000	9008	12064048
-0.11800	9128	12073176
