#\delta	Number of cells	Cumulative
-0.49400	18440	8702727
-0.49200	18236	8720963
-0.49000	18055	8739018
-0.48800	18109	8757127
-0.48600	17843	8774970
-0.48400	17921	8792891
-0.48200	17803	8810694
-0.48000	17391	8828085
-0.47800	17165	8845250
-0.47600	17330	8862580
-0.47400	17109	8879689
-0.47200	17081	8896770
-0.47000	16778	8913548
-0.46800	16552	8930100
-0.46600	16536	8946636
-0.46400	16298	8962934
-0.46200	16177	8979111
-0.46000	16236	8995347
-0.45800	16078	9011425
-0.45600	16091	9027516
-0.45400	15646	9043162
-0.45200	15689	9058851
-0.45000	15438	9074289
-0.44800	15455	9089744
-0.44600	15371	9105115
-0.44400	14848	9119963
-0.44200	15337	9135300
-0.44000	14894	9150194
-0.43800	14790	9164984
-0.43600	14565	9179549
-0.43400	14636	9194185
-0.43200	14643	9208828
-0.43000	14485	9223313
-0.42800	14135	9237448
-0.42600	14173	9251621
-0.42400	14088	9265709
-0.42200	13910	9279619
-0.42000	13820	9293439
-0.41800	13827	9307266
-0.41600	13545	9320811
-0.41400	13232	9334043
-0.41200	13126	9347169
-0.41000	13184	9360353
-0.40800	12988	9373341
-0.40600	13094	9386435
-0.40400	12785	9399220
-0.40200	12627	9411847
-0.40000	12488	9424335
-0.39800	12764	9437099
-0.39600	12475	9449574
-0.39400	12472	9462046
-0.39200	12118	9474164
-0.39000	12435	9486599
-0.38800	12051	9498650
-0.38600	11955	9510605
-0.38400	11843	9522448
-0.38200	11852	9534300
-0.38000	11602	9545902
-0.37800	11489	9557391
-0.37600	11562	9568953
-0.37400	11270	9580223
-0.37200	11338	9591561
-0.37000	11102	9602663
-0.36800	11034	9613697
-0.36600	10944	9624641
-0.36400	10898	9635539
-0.36200	10832	9646371
-0.36000	10688	9657059
-0.35800	10592	9667651
-0.35600	10660	9678311
-0.35400	10536	9688847
-0.35200	10484	9699331
-0.35000	10320	9709651
-0.34800	10266	9719917
-0.34600	10289	9730206
-0.34400	10189	9740395
-0.34200	10084	9750479
-0.34000	9836	9760315
-0.33800	9751	9770066
-0.33600	9863	9779929
-0.33400	9717	9789646
-0.33200	9691	9799337
-0.33000	9481	9808818
-0.32800	9572	9818390
-0.32600	9427	9827817
-0.32400	9394	9837211
-0.32200	9239	9846450
-0.32000	9132	9855582
-0.31800	9166	9864748
-0.31600	8979	9873727
-0.31400	8897	9882624
-0.31200	8907	9891531
-0.31000	8906	9900437
-0.30800	8946	9909383
-0.30600	8733	9918116
-0.30400	8614	9926730
-0.30200	8526	9935256
-0.30000	8259	9943515
-0.29800	8364	9951879
-0.29600	8397	9960276
-0.29400	8313	9968589
-0.29200	8165	9976754
-0.29000	8232	9984986
-0.28800	8090	9993076
-0.28600	8218	10001294
-0.28400	7972	10009266
-0.28200	8053	10017319
-0.28000	7939	10025258
-0.27800	7709	10032967
-0.27600	7636	10040603
-0.27400	7550	10048153
-0.27200	7578	10055731
-0.27000	7326	10063057
-0.26800	7616	10070673
-0.26600	7541	10078214
-0.26400	7231	10085445
-0.26200	7347	10092792
-0.26000	7148	10099940
-0.25800	7196	10107136
-0.25600	7061	10114197
-0.25400	7117	10121314
-0.25200	6935	10128249
-0.25000	6922	10135171
-0.24800	6837	10142008
-0.24600	6922	10148930
-0.24400	6770	10155700
-0.24200	6804	10162504
-0.24000	6565	10169069
-0.23800	6767	10175836
-0.23600	6596	10182432
-0.23400	6580	10189012
-0.23200	6522	10195534
-0.23000	6482	10202016
-0.22800	6421	10208437
-0.22600	6372	10214809
-0.22400	6264	10221073
-0.22200	6278	10227351
-0.22000	6230	10233581
-0.21800	6086	10239667
-0.21600	6146	10245813
-0.21400	6055	10251868
-0.21200	6004	10257872
-0.21000	5922	10263794
-0.20800	5782	10269576
-0.20600	5816	10275392
-0.20400	5731	10281123
-0.20200	5898	10287021
-0.20000	5923	10292944
-0.19800	5690	10298634
-0.19600	5711	10304345
-0.19400	5657	10310002
-0.19200	5511	10315513
-0.19000	5533	10321046
-0.18800	5476	10326522
-0.18600	5440	10331962
-0.18400	5407	10337369
-0.18200	5332	10342701
-0.18000	5317	10348018
-0.17800	5293	10353311
-0.17600	5099	10358410
-0.17400	5154	10363564
-0.17200	5107	10368671
-0.17000	4971	10373642
-0.16800	4965	10378607
-0.16600	4845	10383452
-0.16400	5049	10388501
-0.16200	4957	10393458
-0.16000	5011	10398469
-0.15800	4844	10403313
-0.15600	4647	10407960
-0.15400	4721	10412681
-0.15200	4753	10417434
-0.15000	4698	10422132
-0.14800	4701	10426833
-0.14600	4655	10431488
-0.14400	4560	10436048
-0.14200	4516	10440564
-0.14000	4549	10445113
-0.13800	4614	10449727
-0.13600	4383	10454110
-0.13400	4516	10458626
-0.13200	4333	10462959
-0.13000	4264	10467223
-0.12800	4211	10471434
-0.12600	4198	10475632
-0.12400	4220	10479852
-0.12200	4282	10484134
-0.12000	4139	10488273
-0.11800	4240	10492513
-0.11600	4089	10496602
-0.11400	4082	10500684
-0.11200	4143	10504827
-0.11000	4103	10508930
-0.10800	3928	10512858
-0.10600	3887	10516745
-0.10400	3854	10520599
-0.10200	3859	10524458
-0.10000	3802	10528260
-0.09800	3846	10532106
-0.09600	3707	10535813
-0.09400	3853	10539666
-0.09200	3741	10543407
-0.09000	3787	10547194
-0.08800	3595	10550789
-0.08600	3614	10554403
-0.08400	3617	10558020
-0.08200	3592	10561612
-0.08000	3575	10565187
-0.07800	3525	10568712
-0.07600	3456	10572168
-0.07400	3513	10575681
-0.07200	3462	10579143
-0.07000	3372	10582515
-0.06800	3379	10585894
-0.06600	3359	10589253
-0.06400	3433	10592686
-0.06200	3323	10596009
-0.06000	3171	10599180
-0.05800	3265	10602445
-0.05600	3276	10605721
-0.05400	3174	10608895
-0.05200	3297	10612192
-0.05000	3153	10615345
-0.04800	3146	10618491
-0.04600	3076	10621567
-0.04400	3020	10624587
-0.04200	2960	10627547
-0.04000	3017	10630564
-0.03800	3141	10633705
-0.03600	2965	10636670
-0.03400	2980	10639650
-0.03200	2914	10642564
-0.03000	2995	10645559
-0.02800	2875	10648434
-0.02600	2810	10651244
-0.02400	2904	10654148
-0.02200	2779	10656927
-0.02000	2829	10659756
-0.01800	2793	10662549
-0.01600	2645	10665194
-0.01400	2842	10668036
-0.01200	2725	10670761
-0.01000	2682	10673443
-0.00800	2571	10676014
-0.00600	2586	10678600
-0.00400	2635	10681235
-0.00200	2488	10683723
0.00000	2553	10686276
0.00200	2553	10688829
0.00400	2545	10691374
0.00600	2506	10693880
0.00800	2482	10696362
0.01000	2582	10698944
0.01200	2498	10701442
0.01400	2451	10703893
0.01600	2446	10706339
0.01800	2390	10708729
0.02000	2303	10711032
0.02200	2354	10713386
0.02400	2307	10715693
0.02600	2346	10718039
0.02800	2352	10720391
0.03000	2247	10722638
0.03200	2281	10724919
0.03400	2276	10727195
0.03600	2242	10729437
0.03800	2196	10731633
0.04000	2078	10733711
0.04200	2160	10735871
0.04400	2247	10738118
0.04600	2211	10740329
0.04800	2139	10742468
0.05000	2082	10744550
0.05200	2115	10746665
0.05400	2068	10748733
0.05600	2043	10750776
0.05800	2093	10752869
0.06000	2149	10755018
0.06200	2045	10757063
0.06400	1968	10759031
0.06600	2066	10761097
0.06800	1948	10763045
0.07000	1957	10765002
0.07200	1979	10766981
0.07400	2028	10769009
0.07600	1827	10770836
0.07800	1890	10772726
0.08000	1804	10774530
0.08200	1854	10776384
0.08400	1761	10778145
0.08600	1799	10779944
0.08800	1843	10781787
0.09000	1803	10783590
0.09200	1771	10785361
0.09400	1720	10787081
0.09600	1792	10788873
0.09800	1696	10790569
0.10000	1745	10792314
0.10200	1641	10793955
0.10400	1623	10795578
0.10600	1708	10797286
0.10800	1665	10798951
0.11000	1593	10800544
0.11200	1683	10802227
0.11400	1624	10803851
0.11600	1682	10805533
0.11800	1621	10807154
0.12000	1605	10808759
0.12200	1565	10810324
0.12400	1658	10811982
0.12600	1586	10813568
0.12800	1581	10815149
0.13000	1536	10816685
0.13200	1528	10818213
0.13400	1473	10819686
0.13600	1484	10821170
0.13800	1429	10822599
0.14000	1429	10824028
0.14200	1432	10825460
0.14400	1426	10826886
