#\delta	Number of cells	Cumulative
0.59075	614	119819
0.59600	562	120381
0.60125	615	120996
0.60650	597	121593
0.61175	566	122159
0.61700	613	122772
0.62225	632	123404
0.62750	609	124013
0.63275	589	124602
0.63800	621	125223
0.64325	573	125796
0.64850	641	126437
0.65375	583	127020
0.65900	669	127689
0.66425	597	128286
0.66950	633	128919
0.67475	579	129498
0.68000	597	130095
0.68525	625	130720
0.69050	602	131322
0.69575	648	131970
0.70100	647	132617
0.70625	614	133231
0.71150	627	133858
0.71675	645	134503
0.72200	629	135132
0.72725	677	135809
0.73250	603	136412
0.73775	646	137058
0.74300	697	137755
0.74825	605	138360
0.75350	640	139000
0.75875	636	139636
0.76400	618	140254
0.76925	633	140887
0.77450	632	141519
0.77975	642	142161
0.78500	566	142727
0.79025	633	143360
0.79550	643	144003
0.80075	612	144615
0.80600	638	145253
0.81125	643	145896
0.81650	649	146545
0.82175	651	147196
0.82700	674	147870
0.83225	652	148522
0.83750	645	149167
0.84275	637	149804
0.84800	631	150435
0.85325	655	151090
0.85850	677	151767
0.86375	647	152414
0.86900	601	153015
0.87425	680	153695
0.87950	661	154356
0.88475	653	155009
0.89000	668	155677
0.89525	677	156354
0.90050	647	157001
0.90575	658	157659
0.91100	618	158277
0.91625	645	158922
0.92150	630	159552
0.92675	656	160208
0.93200	675	160883
0.93725	674	161557
0.94250	662	162219
0.94775	661	162880
0.95300	665	163545
0.95825	695	164240
0.96350	697	164937
0.96875	661	165598
0.97400	685	166283
0.97925	668	166951
0.98450	732	167683
0.98975	616	168299
0.99500	684	168983
1.00025	720	169703
1.00550	651	170354
1.01075	680	171034
1.01600	701	171735
1.02125	713	172448
1.02650	673	173121
1.03175	680	173801
1.03700	687	174488
1.04225	696	175184
1.04750	714	175898
1.05275	706	176604
1.05800	748	177352
1.06325	718	178070
1.06850	688	178758
1.07375	652	179410
1.07900	678	180088
1.08425	765	180853
1.08950	739	181592
1.09475	711	182303
1.10000	708	183011
1.10525	723	183734
1.11050	751	184485
1.11575	674	185159
1.12100	739	185898
1.12625	722	186620
1.13150	704	187324
1.13675	698	188022
1.14200	752	188774
1.14725	717	189491
1.15250	717	190208
1.15775	736	190944
1.16300	750	191694
1.16825	794	192488
1.17350	703	193191
1.17875	717	193908
1.18400	743	194651
1.18925	784	195435
1.19450	704	196139
1.19975	735	196874
1.20500	717	197591
1.21025	786	198377
1.21550	727	199104
1.22075	720	199824
1.22600	766	200590
1.23125	751	201341
1.23650	762	202103
1.24175	783	202886
1.24700	776	203662
1.25225	788	204450
1.25750	692	205142
1.26275	765	205907
1.26800	778	206685
1.27325	697	207382
1.27850	763	208145
1.28375	769	208914
1.28900	735	209649
1.29425	723	210372
1.29950	728	211100
1.30475	749	211849
1.31000	712	212561
1.31525	767	213328
1.32050	766	214094
1.32575	729	214823
1.33100	778	215601
1.33625	725	216326
1.34150	756	217082
1.34675	741	217823
1.35200	783	218606
1.35725	781	219387
1.36250	752	220139
1.36775	759	220898
1.37300	730	221628
1.37825	781	222409
1.38350	757	223166
1.38875	761	223927
1.39400	767	224694
1.39925	770	225464
1.40450	811	226275
1.40975	710	226985
1.41500	761	227746
1.42025	801	228547
1.42550	794	229341
1.43075	779	230120
1.43600	792	230912
1.44125	797	231709
1.44650	786	232495
1.45175	822	233317
1.45700	754	234071
1.46225	763	234834
1.46750	830	235664
1.47275	833	236497
1.47800	810	237307
1.48325	770	238077
1.48850	813	238890
1.49375	796	239686
1.49900	796	240482
1.50425	813	241295
1.50950	755	242050
1.51475	792	242842
1.52000	796	243638
1.52525	790	244428
1.53050	781	245209
1.53575	815	246024
1.54100	807	246831
1.54625	793	247624
1.55150	861	248485
1.55675	758	249243
1.56200	869	250112
1.56725	849	250961
1.57250	850	251811
1.57775	797	252608
1.58300	784	253392
1.58825	830	254222
1.59350	813	255035
1.59875	797	255832
1.60400	772	256604
1.60925	797	257401
1.61450	809	258210
1.61975	790	259000
1.62500	779	259779
1.63025	864	260643
1.63550	836	261479
1.64075	819	262298
1.64600	838	263136
1.65125	806	263942
1.65650	829	264771
1.66175	853	265624
1.66700	810	266434
1.67225	827	267261
1.67750	798	268059
1.68275	798	268857
1.68800	836	269693
1.69325	781	270474
1.69850	795	271269
1.70375	798	272067
1.70900	776	272843
1.71425	847	273690
1.71950	801	274491
1.72475	849	275340
1.73000	816	276156
1.73525	769	276925
1.74050	836	277761
1.74575	807	278568
1.75100	829	279397
1.75625	787	280184
1.76150	835	281019
1.76675	844	281863
1.77200	866	282729
1.77725	866	283595
1.78250	839	284434
1.78775	822	285256
1.79300	783	286039
1.79825	848	286887
1.80350	850	287737
1.80875	831	288568
1.81400	848	289416
1.81925	794	290210
1.82450	826	291036
1.82975	879	291915
1.83500	841	292756
1.84025	749	293505
1.84550	815	294320
1.85075	784	295104
1.85600	842	295946
1.86125	817	296763
1.86650	891	297654
1.87175	819	298473
1.87700	775	299248
1.88225	838	300086
1.88750	836	300922
1.89275	875	301797
1.89800	859	302656
1.90325	809	303465
1.90850	864	304329
1.91375	840	305169
1.91900	797	305966
1.92425	848	306814
1.92950	858	307672
1.93475	879	308551
1.94000	842	309393
1.94525	885	310278
1.95050	860	311138
1.95575	797	311935
1.96100	830	312765
1.96625	848	313613
1.97150	812	314425
1.97675	865	315290
1.98200	807	316097
1.98725	829	316926
1.99250	866	317792
1.99775	841	318633
2.00300	838	319471
2.00825	836	320307
2.01350	868	321175
2.01875	839	322014
2.02400	770	322784
2.02925	807	323591
2.03450	850	324441
2.03975	816	325257
2.04500	856	326113
2.05025	824	326937
2.05550	826	327763
2.06075	821	328584
2.06600	859	329443
2.07125	909	330352
2.07650	858	331210
2.08175	858	332068
2.08700	910	332978
2.09225	821	333799
