#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	0	0
-0.94750	0	0
-0.94225	0	0
-0.93700	0	0
-0.93175	0	0
-0.92650	2	2
-0.92125	1	3
-0.91600	6	9
-0.91075	11	20
-0.90550	11	31
-0.90025	13	44
-0.89500	15	59
-0.88975	23	82
-0.88450	27	109
-0.87925	33	142
-0.87400	28	170
-0.86875	37	207
-0.86350	53	260
-0.85825	54	314
-0.85300	59	373
-0.84775	51	424
-0.84250	58	482
-0.83725	70	552
-0.83200	59	611
-0.82675	76	687
-0.82150	82	769
-0.81625	77	846
-0.81100	109	955
-0.80575	91	1046
-0.80050	116	1162
-0.79525	140	1302
-0.79000	99	1401
-0.78475	99	1500
-0.77950	107	1607
-0.77425	108	1715
-0.76900	133	1848
-0.76375	130	1978
-0.75850	133	2111
-0.75325	124	2235
-0.74800	130	2365
-0.74275	125	2490
-0.73750	147	2637
-0.73225	151	2788
-0.72700	136	2924
-0.72175	150	3074
-0.71650	148	3222
-0.71125	156	3378
-0.70600	152	3530
-0.70075	194	3724
-0.69550	180	3904
-0.69025	176	4080
-0.68500	162	4242
-0.67975	190	4432
-0.67450	203	4635
-0.66925	170	4805
-0.66400	189	4994
-0.65875	194	5188
-0.65350	172	5360
-0.64825	169	5529
-0.64300	199	5728
-0.63775	212	5940
-0.63250	196	6136
-0.62725	199	6335
-0.62200	175	6510
-0.61675	208	6718
-0.61150	206	6924
-0.60625	213	7137
-0.60100	219	7356
-0.59575	209	7565
-0.59050	220	7785
-0.58525	206	7991
-0.58000	235	8226
-0.57475	249	8475
-0.56950	246	8721
-0.56425	237	8958
-0.55900	237	9195
-0.55375	243	9438
-0.54850	260	9698
-0.54325	245	9943
-0.53800	231	10174
-0.53275	236	10410
-0.52750	208	10618
-0.52225	229	10847
-0.51700	206	11053
-0.51175	264	11317
-0.50650	249	11566
-0.50125	240	11806
-0.49600	257	12063
-0.49075	253	12316
-0.48550	252	12568
-0.48025	230	12798
-0.47500	264	13062
-0.46975	254	13316
-0.46450	244	13560
-0.45925	274	13834
-0.45400	248	14082
-0.44875	270	14352
-0.44350	269	14621
-0.43825	267	14888
-0.43300	274	15162
-0.42775	238	15400
-0.42250	247	15647
-0.41725	230	15877
-0.41200	233	16110
-0.40675	253	16363
-0.40150	284	16647
-0.39625	289	16936
-0.39100	250	17186
-0.38575	288	17474
-0.38050	287	17761
-0.37525	273	18034
-0.37000	288	18322
-0.36475	258	18580
-0.35950	289	18869
-0.35425	278	19147
-0.34900	273	19420
-0.34375	287	19707
-0.33850	276	19983
-0.33325	267	20250
-0.32800	252	20502
-0.32275	277	20779
-0.31750	267	21046
-0.31225	242	21288
-0.30700	273	21561
-0.30175	258	21819
-0.29650	293	22112
-0.29125	281	22393
-0.28600	289	22682
-0.28075	290	22972
-0.27550	314	23286
-0.27025	285	23571
-0.26500	298	23869
-0.25975	309	24178
-0.25450	284	24462
-0.24925	278	24740
-0.24400	303	25043
-0.23875	311	25354
-0.23350	302	25656
-0.22825	314	25970
-0.22300	292	26262
-0.21775	272	26534
-0.21250	276	26810
-0.20725	280	27090
-0.20200	313	27403
-0.19675	293	27696
-0.19150	275	27971
-0.18625	277	28248
-0.18100	279	28527
-0.17575	265	28792
-0.17050	302	29094
-0.16525	290	29384
-0.16000	308	29692
-0.15475	279	29971
-0.14950	298	30269
-0.14425	292	30561
-0.13900	297	30858
-0.13375	288	31146
-0.12850	311	31457
-0.12325	288	31745
-0.11800	346	32091
-0.11275	304	32395
-0.10750	285	32680
-0.10225	342	33022
-0.09700	293	33315
-0.09175	363	33678
-0.08650	312	33990
-0.08125	331	34321
-0.07600	287	34608
-0.07075	309	34917
-0.06550	275	35192
-0.06025	322	35514
-0.05500	290	35804
-0.04975	328	36132
-0.04450	298	36430
-0.03925	315	36745
-0.03400	329	37074
-0.02875	321	37395
-0.02350	326	37721
-0.01825	302	38023
-0.01300	295	38318
-0.00775	313	38631
-0.00250	301	38932
0.00275	323	39255
0.00800	310	39565
0.01325	319	39884
0.01850	313	40197
0.02375	344	40541
0.02900	287	40828
0.03425	309	41137
0.03950	326	41463
0.04475	309	41772
0.05000	321	42093
0.05525	344	42437
0.06050	302	42739
0.06575	311	43050
0.07100	329	43379
0.07625	308	43687
0.08150	300	43987
0.08675	378	44365
0.09200	301	44666
0.09725	331	44997
0.10250	368	45365
0.10775	338	45703
0.11300	320	46023
0.11825	330	46353
0.12350	324	46677
0.12875	308	46985
0.13400	325	47310
0.13925	316	47626
0.14450	350	47976
0.14975	331	48307
0.15500	346	48653
0.16025	325	48978
0.16550	323	49301
0.17075	339	49640
0.17600	343	49983
0.18125	355	50338
0.18650	350	50688
0.19175	330	51018
0.19700	326	51344
0.20225	327	51671
0.20750	335	52006
0.21275	357	52363
0.21800	343	52706
0.22325	357	53063
0.22850	322	53385
0.23375	357	53742
0.23900	350	54092
0.24425	344	54436
0.24950	339	54775
0.25475	348	55123
0.26000	359	55482
0.26525	323	55805
0.27050	328	56133
0.27575	326	56459
0.28100	347	56806
0.28625	349	57155
0.29150	326	57481
0.29675	336	57817
0.30200	338	58155
0.30725	342	58497
0.31250	349	58846
0.31775	344	59190
0.32300	333	59523
0.32825	352	59875
0.33350	320	60195
0.33875	347	60542
0.34400	365	60907
0.34925	357	61264
0.35450	310	61574
