#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	3	3
-0.94750	25	28
-0.94225	69	97
-0.93700	118	215
-0.93175	190	405
-0.92650	288	693
-0.92125	444	1137
-0.91600	605	1742
-0.91075	817	2559
-0.90550	976	3535
-0.90025	1191	4726
-0.89500	1366	6092
-0.88975	1691	7783
-0.88450	1887	9670
-0.87925	1962	11632
-0.87400	2154	13786
-0.86875	2510	16296
-0.86350	2657	18953
-0.85825	2947	21900
-0.85300	3109	25009
-0.84775	3293	28302
-0.84250	3419	31721
-0.83725	3665	35386
-0.83200	3863	39249
-0.82675	4047	43296
-0.82150	4199	47495
-0.81625	4327	51822
-0.81100	4537	56359
-0.80575	4579	60938
-0.80050	4623	65561
-0.79525	4955	70516
-0.79000	4947	75463
-0.78475	5211	80674
-0.77950	5491	86165
-0.77425	5497	91662
-0.76900	5704	97366
-0.76375	5895	103261
-0.75850	5891	109152
-0.75325	5776	114928
-0.74800	5865	120793
-0.74275	6158	126951
-0.73750	6112	133063
-0.73225	6442	139505
-0.72700	6454	145959
-0.72175	6569	152528
-0.71650	6486	159014
-0.71125	6794	165808
-0.70600	6796	172604
-0.70075	6895	179499
-0.69550	7162	186661
-0.69025	7212	193873
-0.68500	7178	201051
-0.67975	7340	208391
-0.67450	7482	215873
-0.66925	7412	223285
-0.66400	7554	230839
-0.65875	7377	238216
-0.65350	7742	245958
-0.64825	7637	253595
-0.64300	7888	261483
-0.63775	8015	269498
-0.63250	7989	277487
-0.62725	8014	285501
-0.62200	8310	293811
-0.61675	8193	302004
-0.61150	8191	310195
-0.60625	8299	318494
-0.60100	8370	326864
-0.59575	8349	335213
-0.59050	8470	343683
-0.58525	8477	352160
-0.58000	8609	360769
-0.57475	8588	369357
-0.56950	8819	378176
-0.56425	8714	386890
-0.55900	8943	395833
-0.55375	8794	404627
-0.54850	9036	413663
-0.54325	9103	422766
-0.53800	9195	431961
-0.53275	9210	441171
-0.52750	9117	450288
-0.52225	9168	459456
-0.51700	9217	468673
-0.51175	9469	478142
-0.50650	9448	487590
-0.50125	9579	497169
-0.49600	9753	506922
-0.49075	9609	516531
-0.48550	9588	526119
-0.48025	9761	535880
-0.47500	9872	545752
-0.46975	9865	555617
-0.46450	9794	565411
-0.45925	9953	575364
-0.45400	10062	585426
-0.44875	10097	595523
-0.44350	9895	605418
-0.43825	10185	615603
-0.43300	10239	625842
-0.42775	10072	635914
-0.42250	10167	646081
-0.41725	10239	656320
-0.41200	10114	666434
-0.40675	10207	676641
-0.40150	10515	687156
-0.39625	10273	697429
-0.39100	10371	707800
-0.38575	10541	718341
-0.38050	10514	728855
-0.37525	10523	739378
-0.37000	10460	749838
-0.36475	10507	760345
-0.35950	10622	770967
-0.35425	10463	781430
-0.34900	10339	791769
-0.34375	10705	802474
-0.33850	10760	813234
-0.33325	10667	823901
-0.32800	10828	834729
-0.32275	10655	845384
-0.31750	10670	856054
-0.31225	10589	866643
-0.30700	10814	877457
-0.30175	10739	888196
-0.29650	10779	898975
-0.29125	10736	909711
-0.28600	10953	920664
-0.28075	10950	931614
-0.27550	10856	942470
-0.27025	10930	953400
-0.26500	10989	964389
-0.25975	10844	975233
-0.25450	10866	986099
-0.24925	10893	996992
-0.24400	10991	1007983
-0.23875	10926	1018909
-0.23350	10877	1029786
-0.22825	10861	1040647
-0.22300	11062	1051709
-0.21775	10965	1062674
-0.21250	11034	1073708
-0.20725	10905	1084613
-0.20200	10928	1095541
-0.19675	10866	1106407
-0.19150	10833	1117240
-0.18625	10832	1128072
-0.18100	10882	1138954
-0.17575	10833	1149787
-0.17050	10755	1160542
-0.16525	10869	1171411
-0.16000	11025	1182436
-0.15475	10789	1193225
-0.14950	11081	1204306
-0.14425	10812	1215118
-0.13900	10918	1226036
-0.13375	10652	1236688
-0.12850	10744	1247432
-0.12325	10739	1258171
-0.11800	11105	1269276
-0.11275	10581	1279857
-0.10750	10805	1290662
-0.10225	10662	1301324
-0.09700	10758	1312082
-0.09175	10844	1322926
-0.08650	10678	1333604
-0.08125	10676	1344280
-0.07600	10546	1354826
-0.07075	10718	1365544
-0.06550	10813	1376357
-0.06025	10692	1387049
-0.05500	10508	1397557
-0.04975	10546	1408103
-0.04450	10479	1418582
-0.03925	10597	1429179
-0.03400	10458	1439637
-0.02875	10384	1450021
-0.02350	10351	1460372
-0.01825	10416	1470788
-0.01300	10355	1481143
-0.00775	10226	1491369
-0.00250	10305	1501674
0.00275	10170	1511844
0.00800	9964	1521808
0.01325	10201	1532009
0.01850	10034	1542043
0.02375	10154	1552197
0.02900	10074	1562271
0.03425	10258	1572529
0.03950	10078	1582607
0.04475	10121	1592728
0.05000	10193	1602921
0.05525	10045	1612966
0.06050	10103	1623069
0.06575	10081	1633150
0.07100	9862	1643012
0.07625	9989	1653001
0.08150	9755	1662756
0.08675	9881	1672637
0.09200	9678	1682315
0.09725	9792	1692107
0.10250	9842	1701949
0.10775	9643	1711592
0.11300	9731	1721323
0.11825	9864	1731187
0.12350	9771	1740958
0.12875	9816	1750774
0.13400	9579	1760353
0.13925	9571	1769924
0.14450	9522	1779446
0.14975	9275	1788721
0.15500	9364	1798085
0.16025	9473	1807558
0.16550	9539	1817097
0.17075	9354	1826451
0.17600	9303	1835754
0.18125	9428	1845182
0.18650	9301	1854483
