#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	0	0
-0.94750	0	0
-0.94225	0	0
-0.93700	0	0
-0.93175	4	4
-0.92650	4	8
-0.92125	8	16
-0.91600	19	35
-0.91075	18	53
-0.90550	22	75
-0.90025	37	112
-0.89500	28	140
-0.88975	46	186
-0.88450	52	238
-0.87925	63	301
-0.87400	53	354
-0.86875	80	434
-0.86350	94	528
-0.85825	105	633
-0.85300	101	734
-0.84775	102	836
-0.84250	112	948
-0.83725	131	1079
-0.83200	121	1200
-0.82675	127	1327
-0.82150	154	1481
-0.81625	144	1625
-0.81100	180	1805
-0.80575	167	1972
-0.80050	184	2156
-0.79525	217	2373
-0.79000	198	2571
-0.78475	211	2782
-0.77950	208	2990
-0.77425	198	3188
-0.76900	225	3413
-0.76375	240	3653
-0.75850	250	3903
-0.75325	207	4110
-0.74800	245	4355
-0.74275	251	4606
-0.73750	235	4841
-0.73225	287	5128
-0.72700	237	5365
-0.72175	275	5640
-0.71650	248	5888
-0.71125	267	6155
-0.70600	260	6415
-0.70075	324	6739
-0.69550	310	7049
-0.69025	296	7345
-0.68500	287	7632
-0.67975	344	7976
-0.67450	326	8302
-0.66925	311	8613
-0.66400	334	8947
-0.65875	335	9282
-0.65350	314	9596
-0.64825	295	9891
-0.64300	334	10225
-0.63775	363	10588
-0.63250	353	10941
-0.62725	346	11287
-0.62200	321	11608
-0.61675	354	11962
-0.61150	349	12311
-0.60625	352	12663
-0.60100	352	13015
-0.59575	337	13352
-0.59050	373	13725
-0.58525	351	14076
-0.58000	376	14452
-0.57475	389	14841
-0.56950	416	15257
-0.56425	372	15629
-0.55900	394	16023
-0.55375	387	16410
-0.54850	411	16821
-0.54325	403	17224
-0.53800	380	17604
-0.53275	381	17985
-0.52750	360	18345
-0.52225	387	18732
-0.51700	348	19080
-0.51175	434	19514
-0.50650	411	19925
-0.50125	418	20343
-0.49600	422	20765
-0.49075	413	21178
-0.48550	434	21612
-0.48025	376	21988
-0.47500	441	22429
-0.46975	417	22846
-0.46450	401	23247
-0.45925	429	23676
-0.45400	425	24101
-0.44875	410	24511
-0.44350	429	24940
-0.43825	442	25382
-0.43300	450	25832
-0.42775	428	26260
-0.42250	411	26671
-0.41725	383	27054
-0.41200	422	27476
-0.40675	420	27896
-0.40150	452	28348
-0.39625	453	28801
-0.39100	391	29192
-0.38575	444	29636
-0.38050	455	30091
-0.37525	415	30506
-0.37000	478	30984
-0.36475	435	31419
-0.35950	437	31856
-0.35425	441	32297
-0.34900	447	32744
-0.34375	468	33212
-0.33850	436	33648
-0.33325	439	34087
-0.32800	419	34506
-0.32275	436	34942
-0.31750	442	35384
-0.31225	398	35782
-0.30700	446	36228
-0.30175	422	36650
-0.29650	476	37126
-0.29125	426	37552
-0.28600	453	38005
-0.28075	458	38463
-0.27550	465	38928
-0.27025	464	39392
-0.26500	470	39862
-0.25975	480	40342
-0.25450	444	40786
-0.24925	457	41243
-0.24400	470	41713
-0.23875	501	42214
-0.23350	469	42683
-0.22825	480	43163
-0.22300	474	43637
-0.21775	440	44077
-0.21250	442	44519
-0.20725	452	44971
-0.20200	499	45470
-0.19675	468	45938
-0.19150	457	46395
-0.18625	440	46835
-0.18100	456	47291
-0.17575	453	47744
-0.17050	483	48227
-0.16525	478	48705
-0.16000	502	49207
-0.15475	475	49682
-0.14950	473	50155
-0.14425	457	50612
-0.13900	469	51081
-0.13375	454	51535
-0.12850	499	52034
-0.12325	452	52486
-0.11800	539	53025
-0.11275	487	53512
-0.10750	468	53980
-0.10225	531	54511
-0.09700	475	54986
-0.09175	536	55522
-0.08650	487	56009
-0.08125	533	56542
-0.07600	465	57007
-0.07075	495	57502
-0.06550	455	57957
-0.06025	514	58471
-0.05500	451	58922
-0.04975	522	59444
-0.04450	464	59908
-0.03925	500	60408
-0.03400	486	60894
-0.02875	508	61402
-0.02350	510	61912
-0.01825	500	62412
-0.01300	486	62898
-0.00775	502	63400
-0.00250	486	63886
0.00275	501	64387
0.00800	491	64878
0.01325	515	65393
0.01850	511	65904
0.02375	561	66465
0.02900	487	66952
0.03425	500	67452
0.03950	521	67973
0.04475	497	68470
0.05000	519	68989
0.05525	545	69534
0.06050	503	70037
0.06575	505	70542
0.07100	510	71052
0.07625	521	71573
0.08150	499	72072
0.08675	573	72645
0.09200	522	73167
0.09725	530	73697
0.10250	571	74268
0.10775	529	74797
0.11300	504	75301
0.11825	544	75845
0.12350	523	76368
0.12875	507	76875
0.13400	516	77391
0.13925	522	77913
0.14450	567	78480
0.14975	528	79008
0.15500	552	79560
0.16025	534	80094
0.16550	504	80598
0.17075	557	81155
0.17600	561	81716
0.18125	576	82292
0.18650	550	82842
0.19175	548	83390
0.19700	543	83933
0.20225	532	84465
0.20750	567	85032
0.21275	562	85594
0.21800	569	86163
0.22325	573	86736
0.22850	510	87246
0.23375	564	87810
0.23900	584	88394
0.24425	566	88960
0.24950	541	89501
0.25475	563	90064
0.26000	553	90617
0.26525	515	91132
0.27050	552	91684
0.27575	547	92231
0.28100	551	92782
0.28625	568	93350
0.29150	530	93880
0.29675	557	94437
0.30200	553	94990
0.30725	559	95549
0.31250	576	96125
0.31775	568	96693
0.32300	576	97269
0.32825	568	97837
0.33350	527	98364
0.33875	594	98958
0.34400	609	99567
0.34925	589	100156
