#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	0	0
-0.94750	0	0
-0.94225	2	2
-0.93700	8	10
-0.93175	9	19
-0.92650	10	29
-0.92125	19	48
-0.91600	37	85
-0.91075	46	131
-0.90550	52	183
-0.90025	66	249
-0.89500	74	323
-0.88975	109	432
-0.88450	121	553
-0.87925	133	686
-0.87400	133	819
-0.86875	170	989
-0.86350	214	1203
-0.85825	207	1410
-0.85300	214	1624
-0.84775	218	1842
-0.84250	234	2076
-0.83725	254	2330
-0.83200	261	2591
-0.82675	306	2897
-0.82150	316	3213
-0.81625	276	3489
-0.81100	363	3852
-0.80575	357	4209
-0.80050	373	4582
-0.79525	407	4989
-0.79000	405	5394
-0.78475	397	5791
-0.77950	414	6205
-0.77425	399	6604
-0.76900	433	7037
-0.76375	484	7521
-0.75850	492	8013
-0.75325	411	8424
-0.74800	456	8880
-0.74275	501	9381
-0.73750	505	9886
-0.73225	532	10418
-0.72700	485	10903
-0.72175	514	11417
-0.71650	502	11919
-0.71125	565	12484
-0.70600	534	13018
-0.70075	593	13611
-0.69550	581	14192
-0.69025	575	14767
-0.68500	555	15322
-0.67975	596	15918
-0.67450	619	16537
-0.66925	595	17132
-0.66400	620	17752
-0.65875	606	18358
-0.65350	634	18992
-0.64825	586	19578
-0.64300	640	20218
-0.63775	653	20871
-0.63250	682	21553
-0.62725	675	22228
-0.62200	629	22857
-0.61675	657	23514
-0.61150	636	24150
-0.60625	667	24817
-0.60100	658	25475
-0.59575	667	26142
-0.59050	657	26799
-0.58525	656	27455
-0.58000	706	28161
-0.57475	690	28851
-0.56950	729	29580
-0.56425	695	30275
-0.55900	717	30992
-0.55375	698	31690
-0.54850	784	32474
-0.54325	719	33193
-0.53800	717	33910
-0.53275	742	34652
-0.52750	726	35378
-0.52225	716	36094
-0.51700	697	36791
-0.51175	761	37552
-0.50650	767	38319
-0.50125	747	39066
-0.49600	805	39871
-0.49075	794	40665
-0.48550	754	41419
-0.48025	758	42177
-0.47500	782	42959
-0.46975	781	43740
-0.46450	768	44508
-0.45925	756	45264
-0.45400	770	46034
-0.44875	735	46769
-0.44350	757	47526
-0.43825	824	48350
-0.43300	801	49151
-0.42775	803	49954
-0.42250	774	50728
-0.41725	737	51465
-0.41200	795	52260
-0.40675	766	53026
-0.40150	865	53891
-0.39625	808	54699
-0.39100	745	55444
-0.38575	781	56225
-0.38050	807	57032
-0.37525	820	57852
-0.37000	833	58685
-0.36475	829	59514
-0.35950	806	60320
-0.35425	833	61153
-0.34900	796	61949
-0.34375	836	62785
-0.33850	780	63565
-0.33325	782	64347
-0.32800	832	65179
-0.32275	841	66020
-0.31750	831	66851
-0.31225	770	67621
-0.30700	831	68452
-0.30175	809	69261
-0.29650	817	70078
-0.29125	798	70876
-0.28600	848	71724
-0.28075	867	72591
-0.27550	883	73474
-0.27025	797	74271
-0.26500	836	75107
-0.25975	859	75966
-0.25450	837	76803
-0.24925	826	77629
-0.24400	878	78507
-0.23875	882	79389
-0.23350	843	80232
-0.22825	880	81112
-0.22300	889	82001
-0.21775	846	82847
-0.21250	880	83727
-0.20725	853	84580
-0.20200	875	85455
-0.19675	897	86352
-0.19150	857	87209
-0.18625	862	88071
-0.18100	824	88895
-0.17575	804	89699
-0.17050	893	90592
-0.16525	890	91482
-0.16000	906	92388
-0.15475	874	93262
-0.14950	900	94162
-0.14425	871	95033
-0.13900	887	95920
-0.13375	873	96793
-0.12850	919	97712
-0.12325	857	98569
-0.11800	923	99492
-0.11275	888	100380
-0.10750	857	101237
-0.10225	952	102189
-0.09700	889	103078
-0.09175	975	104053
-0.08650	916	104969
-0.08125	907	105876
-0.07600	868	106744
-0.07075	872	107616
-0.06550	923	108539
-0.06025	954	109493
-0.05500	876	110369
-0.04975	943	111312
-0.04450	894	112206
-0.03925	952	113158
-0.03400	922	114080
-0.02875	958	115038
-0.02350	941	115979
-0.01825	924	116903
-0.01300	888	117791
-0.00775	912	118703
-0.00250	970	119673
0.00275	943	120616
0.00800	949	121565
0.01325	937	122502
0.01850	940	123442
0.02375	968	124410
0.02900	904	125314
0.03425	946	126260
0.03950	998	127258
0.04475	940	128198
0.05000	946	129144
0.05525	1014	130158
0.06050	986	131144
0.06575	957	132101
0.07100	964	133065
0.07625	991	134056
0.08150	956	135012
0.08675	992	136004
0.09200	1002	137006
0.09725	977	137983
0.10250	1013	138996
0.10775	1013	140009
0.11300	997	141006
0.11825	1023	142029
0.12350	1041	143070
0.12875	973	144043
0.13400	983	145026
0.13925	959	145985
0.14450	1038	147023
0.14975	969	147992
0.15500	997	148989
0.16025	1005	149994
0.16550	997	150991
0.17075	1027	152018
0.17600	1044	153062
0.18125	1080	154142
0.18650	1021	155163
0.19175	1034	156197
0.19700	1039	157236
0.20225	1045	158281
0.20750	1016	159297
0.21275	1033	160330
0.21800	1042	161372
0.22325	1064	162436
0.22850	1037	163473
0.23375	1068	164541
0.23900	1116	165657
0.24425	1024	166681
0.24950	1047	167728
0.25475	1082	168810
0.26000	1065	169875
0.26525	1030	170905
0.27050	991	171896
0.27575	1068	172964
0.28100	1064	174028
0.28625	1074	175102
0.29150	1065	176167
0.29675	1125	177292
0.30200	1069	178361
0.30725	1038	179399
0.31250	1108	180507
0.31775	1131	181638
0.32300	1111	182749
0.32825	1100	183849
