#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	0	0
-0.97000	0	0
-0.96800	0	0
-0.96600	0	0
-0.96400	0	0
-0.96200	0	0
-0.96000	0	0
-0.95800	0	0
-0.95600	0	0
-0.95400	2	2
-0.95200	0	2
-0.95000	3	5
-0.94800	4	9
-0.94600	5	14
-0.94400	2	16
-0.94200	6	22
-0.94000	8	30
-0.93800	9	39
-0.93600	9	48
-0.93400	24	72
-0.93200	26	98
-0.93000	21	119
-0.92800	31	150
-0.92600	40	190
-0.92400	47	237
-0.92200	41	278
-0.92000	59	337
-0.91800	57	394
-0.91600	85	479
-0.91400	76	555
-0.91200	101	656
-0.91000	115	771
-0.90800	104	875
-0.90600	118	993
-0.90400	120	1113
-0.90200	126	1239
-0.90000	133	1372
-0.89800	154	1526
-0.89600	173	1699
-0.89400	170	1869
-0.89200	182	2051
-0.89000	184	2235
-0.88800	197	2432
-0.88600	199	2631
-0.88400	241	2872
-0.88200	256	3128
-0.88000	263	3391
-0.87800	249	3640
-0.87600	284	3924
-0.87400	285	4209
-0.87200	313	4522
-0.87000	325	4847
-0.86800	335	5182
-0.86600	345	5527
-0.86400	353	5880
-0.86200	370	6250
-0.86000	351	6601
-0.85800	426	7027
-0.85600	397	7424
-0.85400	409	7833
-0.85200	488	8321
-0.85000	428	8749
-0.84800	485	9234
-0.84600	497	9731
-0.84400	459	10190
-0.84200	543	10733
-0.84000	520	11253
-0.83800	535	11788
-0.83600	515	12303
-0.83400	595	12898
-0.83200	588	13486
-0.83000	561	14047
-0.82800	608	14655
-0.82600	605	15260
-0.82400	620	15880
-0.82200	621	16501
-0.82000	668	17169
-0.81800	664	17833
-0.81600	616	18449
-0.81400	718	19167
-0.81200	750	19917
-0.81000	720	20637
-0.80800	723	21360
-0.80600	700	22060
-0.80400	679	22739
-0.80200	751	23490
-0.80000	758	24248
-0.79800	794	25042
-0.79600	831	25873
-0.79400	791	26664
-0.79200	798	27462
-0.79000	794	28256
-0.78800	868	29124
-0.78600	838	29962
-0.78400	877	30839
-0.78200	853	31692
-0.78000	898	32590
-0.77800	844	33434
-0.77600	894	34328
-0.77400	928	35256
-0.77200	835	36091
-0.77000	913	37004
-0.76800	983	37987
-0.76600	939	38926
-0.76400	961	39887
-0.76200	973	40860
-0.76000	976	41836
-0.75800	966	42802
-0.75600	967	43769
-0.75400	989	44758
-0.75200	1037	45795
-0.75000	1039	46834
-0.74800	981	47815
-0.74600	1065	48880
-0.74400	976	49856
-0.74200	1057	50913
-0.74000	1061	51974
-0.73800	1039	53013
-0.73600	1114	54127
-0.73400	1057	55184
-0.73200	1107	56291
-0.73000	1047	57338
-0.72800	1144	58482
-0.72600	1142	59624
-0.72400	1178	60802
-0.72200	1100	61902
-0.72000	1113	63015
-0.71800	1077	64092
-0.71600	1114	65206
-0.71400	1134	66340
-0.71200	1098	67438
-0.71000	1238	68676
-0.70800	1146	69822
-0.70600	1110	70932
-0.70400	1267	72199
-0.70200	1234	73433
