#\delta	Number of cells	Cumulative
-0.46400	7361	1475033
-0.46200	7549	1482582
-0.46000	7491	1490073
-0.45800	7615	1497688
-0.45600	7496	1505184
-0.45400	7362	1512546
-0.45200	7651	1520197
-0.45000	7281	1527478
-0.44800	7257	1534735
-0.44600	7391	1542126
-0.44400	7386	1549512
-0.44200	7355	1556867
-0.44000	7380	1564247
-0.43800	7218	1571465
-0.43600	7182	1578647
-0.43400	7199	1585846
-0.43200	7135	1592981
-0.43000	7306	1600287
-0.42800	7258	1607545
-0.42600	7265	1614810
-0.42400	7204	1622014
-0.42200	7063	1629077
-0.42000	7238	1636315
-0.41800	7265	1643580
-0.41600	6945	1650525
-0.41400	6922	1657447
-0.41200	6939	1664386
-0.41000	6967	1671353
-0.40800	6900	1678253
-0.40600	6962	1685215
-0.40400	6974	1692189
-0.40200	7004	1699193
-0.40000	6927	1706120
-0.39800	6916	1713036
-0.39600	6734	1719770
-0.39400	6799	1726569
-0.39200	6709	1733278
-0.39000	6824	1740102
-0.38800	6771	1746873
-0.38600	6712	1753585
-0.38400	6873	1760458
-0.38200	6588	1767046
-0.38000	6640	1773686
-0.37800	6734	1780420
-0.37600	6652	1787072
-0.37400	6547	1793619
-0.37200	6732	1800351
-0.37000	6681	1807032
-0.36800	6514	1813546
-0.36600	6610	1820156
-0.36400	6567	1826723
-0.36200	6573	1833296
-0.36000	6411	1839707
-0.35800	6470	1846177
-0.35600	6304	1852481
-0.35400	6487	1858968
-0.35200	6465	1865433
-0.35000	6416	1871849
-0.34800	6359	1878208
-0.34600	6388	1884596
-0.34400	6632	1891228
-0.34200	6380	1897608
-0.34000	6474	1904082
-0.33800	6356	1910438
-0.33600	6323	1916761
-0.33400	6195	1922956
-0.33200	6307	1929263
-0.33000	6266	1935529
-0.32800	6133	1941662
-0.32600	6253	1947915
-0.32400	6166	1954081
-0.32200	6119	1960200
-0.32000	6099	1966299
-0.31800	6177	1972476
-0.31600	6113	1978589
-0.31400	6065	1984654
-0.31200	6019	1990673
-0.31000	6065	1996738
-0.30800	6082	2002820
-0.30600	6039	2008859
-0.30400	5854	2014713
-0.30200	5983	2020696
-0.30000	5883	2026579
-0.29800	5880	2032459
-0.29600	6034	2038493
-0.29400	5881	2044374
-0.29200	5852	2050226
-0.29000	5906	2056132
-0.28800	5863	2061995
-0.28600	5888	2067883
-0.28400	5851	2073734
-0.28200	5817	2079551
-0.28000	5785	2085336
-0.27800	5753	2091089
-0.27600	5649	2096738
-0.27400	5680	2102418
-0.27200	5754	2108172
-0.27000	5677	2113849
-0.26800	5680	2119529
-0.26600	5705	2125234
-0.26400	5641	2130875
-0.26200	5587	2136462
-0.26000	5602	2142064
-0.25800	5628	2147692
-0.25600	5573	2153265
-0.25400	5525	2158790
-0.25200	5395	2164185
-0.25000	5553	2169738
-0.24800	5412	2175150
-0.24600	5499	2180649
-0.24400	5449	2186098
-0.24200	5435	2191533
-0.24000	5453	2196986
-0.23800	5516	2202502
-0.23600	5386	2207888
-0.23400	5332	2213220
-0.23200	5377	2218597
-0.23000	5468	2224065
-0.22800	5269	2229334
-0.22600	5335	2234669
-0.22400	5409	2240078
-0.22200	5383	2245461
-0.22000	5185	2250646
-0.21800	5239	2255885
-0.21600	5273	2261158
-0.21400	5218	2266376
-0.21200	5262	2271638
-0.21000	5216	2276854
-0.20800	5152	2282006
-0.20600	5169	2287175
-0.20400	5151	2292326
-0.20200	5137	2297463
-0.20000	5150	2302613
-0.19800	5071	2307684
-0.19600	5029	2312713
-0.19400	5021	2317734
-0.19200	5104	2322838
-0.19000	5105	2327943
-0.18800	4985	2332928
-0.18600	4993	2337921
-0.18400	4885	2342806
-0.18200	5063	2347869
-0.18000	4961	2352830
-0.17800	5001	2357831
-0.17600	4968	2362799
-0.17400	4922	2367721
-0.17200	4818	2372539
-0.17000	4824	2377363
-0.16800	4849	2382212
-0.16600	4797	2387009
-0.16400	4957	2391966
-0.16200	4804	2396770
-0.16000	5011	2401781
-0.15800	4791	2406572
-0.15600	4738	2411310
-0.15400	4671	2415981
-0.15200	4646	2420627
-0.15000	4754	2425381
-0.14800	4788	2430169
-0.14600	4647	2434816
-0.14400	4618	2439434
-0.14200	4704	2444138
-0.14000	4620	2448758
-0.13800	4544	2453302
-0.13600	4526	2457828
-0.13400	4545	2462373
-0.13200	4648	2467021
-0.13000	4582	2471603
-0.12800	4574	2476177
-0.12600	4515	2480692
-0.12400	4681	2485373
-0.12200	4613	2489986
-0.12000	4467	2494453
-0.11800	4565	2499018
-0.11600	4420	2503438
-0.11400	4309	2507747
-0.11200	4320	2512067
-0.11000	4540	2516607
-0.10800	4373	2520980
-0.10600	4372	2525352
-0.10400	4304	2529656
-0.10200	4494	2534150
-0.10000	4380	2538530
-0.09800	4296	2542826
-0.09600	4367	2547193
-0.09400	4327	2551520
-0.09200	4353	2555873
-0.09000	4329	2560202
-0.08800	4388	2564590
-0.08600	4320	2568910
-0.08400	4320	2573230
-0.08200	4161	2577391
-0.08000	4346	2581737
-0.07800	4242	2585979
-0.07600	4140	2590119
-0.07400	4275	2594394
-0.07200	4252	2598646
-0.07000	4151	2602797
-0.06800	4164	2606961
-0.06600	4183	2611144
-0.06400	4156	2615300
-0.06200	4112	2619412
-0.06000	4069	2623481
-0.05800	4041	2627522
-0.05600	4009	2631531
-0.05400	4098	2635629
-0.05200	4118	2639747
-0.05000	4006	2643753
-0.04800	4064	2647817
-0.04600	3986	2651803
-0.04400	3980	2655783
-0.04200	4002	2659785
-0.04000	3979	2663764
-0.03800	4097	2667861
-0.03600	4004	2671865
-0.03400	3862	2675727
-0.03200	3873	2679600
-0.03000	3836	2683436
-0.02800	3868	2687304
-0.02600	3859	2691163
-0.02400	3844	2695007
-0.02200	3809	2698816
-0.02000	3963	2702779
-0.01800	3665	2706444
-0.01600	3889	2710333
-0.01400	3772	2714105
-0.01200	3832	2717937
-0.01000	3808	2721745
-0.00800	3776	2725521
-0.00600	3786	2729307
-0.00400	3836	2733143
-0.00200	3792	2736935
0.00000	3727	2740662
0.00200	3742	2744404
0.00400	3613	2748017
0.00600	3692	2751709
0.00800	3610	2755319
0.01000	3810	2759129
0.01200	3614	2762743
0.01400	3624	2766367
0.01600	3674	2770041
0.01800	3613	2773654
0.02000	3688	2777342
0.02200	3525	2780867
0.02400	3567	2784434
0.02600	3542	2787976
0.02800	3684	2791660
0.03000	3591	2795251
0.03200	3530	2798781
0.03400	3567	2802348
0.03600	3589	2805937
0.03800	3408	2809345
0.04000	3498	2812843
0.04200	3535	2816378
0.04400	3456	2819834
0.04600	3479	2823313
0.04800	3440	2826753
0.05000	3523	2830276
0.05200	3341	2833617
0.05400	3452	2837069
0.05600	3387	2840456
0.05800	3462	2843918
0.06000	3454	2847372
0.06200	3420	2850792
0.06400	3313	2854105
0.06600	3335	2857440
0.06800	3298	2860738
0.07000	3278	2864016
0.07200	3396	2867412
0.07400	3374	2870786
0.07600	3323	2874109
0.07800	3267	2877376
0.08000	3347	2880723
0.08200	3341	2884064
0.08400	3296	2887360
0.08600	3264	2890624
0.08800	3256	2893880
0.09000	3210	2897090
0.09200	3214	2900304
0.09400	3243	2903547
0.09600	3195	2906742
0.09800	3170	2909912
0.10000	3278	2913190
0.10200	3121	2916311
0.10400	3173	2919484
0.10600	3187	2922671
0.10800	3158	2925829
0.11000	3161	2928990
0.11200	3118	2932108
0.11400	3276	2935384
0.11600	3149	2938533
0.11800	3075	2941608
0.12000	3126	2944734
0.12200	3218	2947952
0.12400	3138	2951090
0.12600	3001	2954091
0.12800	3136	2957227
0.13000	3122	2960349
0.13200	3039	2963388
0.13400	3055	2966443
0.13600	3038	2969481
0.13800	3084	2972565
0.14000	2902	2975467
0.14200	3005	2978472
0.14400	3085	2981557
0.14600	2984	2984541
0.14800	2977	2987518
0.15000	2942	2990460
0.15200	2857	2993317
0.15400	2876	2996193
0.15600	2907	2999100
0.15800	2969	3002069
0.16000	2943	3005012
0.16200	3009	3008021
0.16400	2924	3010945
0.16600	2918	3013863
0.16800	2972	3016835
0.17000	2927	3019762
0.17200	2832	3022594
0.17400	2790	3025384
0.17600	2827	3028211
0.17800	2874	3031085
0.18000	2926	3034011
0.18200	2870	3036881
0.18400	2756	3039637
0.18600	2807	3042444
0.18800	2838	3045282
0.19000	2828	3048110
0.19200	2760	3050870
0.19400	2764	3053634
0.19600	2801	3056435
0.19800	2843	3059278
0.20000	2852	3062130
0.20200	2724	3064854
0.20400	2726	3067580
0.20600	2725	3070305
0.20800	2810	3073115
0.21000	2699	3075814
0.21200	2694	3078508
0.21400	2729	3081237
0.21600	2716	3083953
0.21800	2569	3086522
0.22000	2701	3089223
0.22200	2676	3091899
0.22400	2615	3094514
0.22600	2625	3097139
0.22800	2705	3099844
0.23000	2679	3102523
0.23200	2592	3105115
0.23400	2593	3107708
0.23600	2683	3110391
0.23800	2620	3113011
0.24000	2571	3115582
0.24200	2602	3118184
0.24400	2591	3120775
0.24600	2596	3123371
0.24800	2427	3125798
0.25000	2620	3128418
0.25200	2550	3130968
0.25400	2550	3133518
0.25600	2508	3136026
0.25800	2525	3138551
0.26000	2542	3141093
0.26200	2625	3143718
0.26400	2589	3146307
0.26600	2625	3148932
0.26800	2493	3151425
0.27000	2378	3153803
0.27200	2480	3156283
0.27400	2542	3158825
0.27600	2586	3161411
0.27800	2470	3163881
0.28000	2479	3166360
0.28200	2492	3168852
0.28400	2439	3171291
0.28600	2485	3173776
0.28800	2426	3176202
0.29000	2474	3178676
0.29200	2462	3181138
0.29400	2484	3183622
0.29600	2582	3186204
0.29800	2434	3188638
0.30000	2480	3191118
0.30200	2443	3193561
0.30400	2362	3195923
0.30600	2425	3198348
0.30800	2394	3200742
0.31000	2445	3203187
0.31200	2457	3205644
0.31400	2387	3208031
0.31600	2383	3210414
0.31800	2355	3212769
0.32000	2321	3215090
0.32200	2343	3217433
0.32400	2274	3219707
0.32600	2324	3222031
0.32800	2353	3224384
0.33000	2338	3226722
0.33200	2320	3229042
0.33400	2301	3231343
0.33600	2231	3233574
0.33800	2325	3235899
0.34000	2291	3238190
0.34200	2339	3240529
0.34400	2277	3242806
0.34600	2289	3245095
0.34800	2225	3247320
0.35000	2270	3249590
0.35200	2255	3251845
0.35400	2278	3254123
0.35600	2259	3256382
0.35800	2227	3258609
0.36000	2222	3260831
0.36200	2125	3262956
0.36400	2169	3265125
0.36600	2241	3267366
0.36800	2266	3269632
0.37000	2289	3271921
0.37200	2131	3274052
0.37400	2210	3276262
0.37600	2169	3278431
0.37800	2134	3280565
0.38000	2233	3282798
0.38200	2138	3284936
0.38400	2201	3287137
0.38600	2113	3289250
0.38800	2129	3291379
0.39000	2107	3293486
0.39200	2132	3295618
0.39400	2220	3297838
0.39600	2095	3299933
0.39800	2060	3301993
0.40000	2130	3304123
0.40200	2140	3306263
0.40400	2165	3308428
0.40600	2141	3310569
0.40800	2039	3312608
0.41000	2137	3314745
0.41200	2081	3316826
0.41400	2050	3318876
0.41600	2033	3320909
0.41800	1995	3322904
0.42000	2125	3325029
0.42200	2119	3327148
0.42400	2109	3329257
0.42600	2038	3331295
0.42800	2040	3333335
0.43000	2027	3335362
0.43200	2048	3337410
0.43400	2031	3339441
0.43600	2032	3341473
0.43800	2029	3343502
0.44000	2041	3345543
0.44200	2007	3347550
0.44400	2010	3349560
0.44600	1967	3351527
0.44800	1975	3353502
0.45000	1977	3355479
0.45200	1961	3357440
0.45400	2005	3359445
0.45600	1988	3361433
0.45800	1944	3363377
0.46000	1989	3365366
0.46200	1937	3367303
0.46400	1984	3369287
0.46600	1904	3371191
0.46800	1931	3373122
0.47000	1927	3375049
0.47200	1876	3376925
0.47400	1909	3378834
0.47600	1861	3380695
0.47800	1857	3382552
0.48000	1956	3384508
0.48200	1867	3386375
0.48400	1925	3388300
0.48600	1834	3390134
0.48800	1987	3392121
0.49000	1897	3394018
0.49200	1840	3395858
0.49400	1840	3397698
0.49600	1815	3399513
0.49800	1854	3401367
0.50000	1851	3403218
0.50200	1866	3405084
0.50400	1907	3406991
0.50600	1833	3408824
0.50800	1818	3410642
0.51000	1827	3412469
0.51200	1706	3414175
0.51400	1809	3415984
0.51600	1862	3417846
0.51800	1716	3419562
0.52000	1718	3421280
0.52200	1798	3423078
0.52400	1745	3424823
0.52600	1829	3426652
0.52800	1776	3428428
0.53000	1720	3430148
0.53200	1667	3431815
0.53400	1748	3433563
0.53600	1768	3435331
0.53800	1768	3437099
0.54000	1778	3438877
0.54200	1731	3440608
0.54400	1778	3442386
0.54600	1707	3444093
0.54800	1765	3445858
0.55000	1700	3447558
0.55200	1687	3449245
0.55400	1755	3451000
0.55600	1675	3452675
0.55800	1697	3454372
0.56000	1660	3456032
0.56200	1724	3457756
0.56400	1696	3459452
0.56600	1627	3461079
0.56800	1729	3462808
0.57000	1652	3464460
0.57200	1630	3466090
0.57400	1687	3467777
0.57600	1774	3469551
0.57800	1624	3471175
0.58000	1761	3472936
0.58200	1698	3474634
0.58400	1708	3476342
0.58600	1663	3478005
0.58800	1672	3479677
0.59000	1660	3481337
0.59200	1697	3483034
0.59400	1660	3484694
0.59600	1635	3486329
0.59800	1616	3487945
0.60000	1641	3489586
0.60200	1678	3491264
0.60400	1551	3492815
0.60600	1660	3494475
0.60800	1572	3496047
0.61000	1628	3497675
0.61200	1588	3499263
0.61400	1618	3500881
0.61600	1610	3502491
0.61800	1603	3504094
0.62000	1641	3505735
0.62200	1574	3507309
0.62400	1581	3508890
0.62600	1558	3510448
0.62800	1621	3512069
0.63000	1528	3513597
0.63200	1563	3515160
0.63400	1570	3516730
0.63600	1559	3518289
0.63800	1558	3519847
0.64000	1644	3521491
0.64200	1550	3523041
0.64400	1564	3524605
0.64600	1531	3526136
0.64800	1579	3527715
0.65000	1563	3529278
