#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	0	0
-0.97000	0	0
-0.96800	0	0
-0.96600	0	0
-0.96400	0	0
-0.96200	0	0
-0.96000	0	0
-0.95800	0	0
-0.95600	0	0
-0.95400	6	6
-0.95200	6	12
-0.95000	11	23
-0.94800	8	31
-0.94600	17	48
-0.94400	18	66
-0.94200	27	93
-0.94000	43	136
-0.93800	53	189
-0.93600	54	243
-0.93400	82	325
-0.93200	99	424
-0.93000	86	510
-0.92800	136	646
-0.92600	159	805
-0.92400	177	982
-0.92200	238	1220
-0.92000	235	1455
-0.91800	273	1728
-0.91600	326	2054
-0.91400	321	2375
-0.91200	402	2777
-0.91000	481	3258
-0.90800	453	3711
-0.90600	508	4219
-0.90400	547	4766
-0.90200	603	5369
-0.90000	614	5983
-0.89800	692	6675
-0.89600	707	7382
-0.89400	829	8211
-0.89200	843	9054
-0.89000	891	9945
-0.88800	887	10832
-0.88600	984	11816
-0.88400	1020	12836
-0.88200	1127	13963
-0.88000	1147	15110
-0.87800	1173	16283
-0.87600	1265	17548
-0.87400	1376	18924
-0.87200	1426	20350
-0.87000	1507	21857
-0.86800	1539	23396
-0.86600	1687	25083
-0.86400	1668	26751
-0.86200	1657	28408
-0.86000	1717	30125
-0.85800	1868	31993
-0.85600	1826	33819
-0.85400	1992	35811
-0.85200	2143	37954
-0.85000	2136	40090
-0.84800	2164	42254
-0.84600	2239	44493
-0.84400	2186	46679
-0.84200	2438	49117
-0.84000	2463	51580
-0.83800	2503	54083
-0.83600	2534	56617
-0.83400	2698	59315
-0.83200	2757	62072
-0.83000	2724	64796
-0.82800	2942	67738
-0.82600	2950	70688
-0.82400	2923	73611
-0.82200	2993	76604
-0.82000	3111	79715
-0.81800	3041	82756
-0.81600	3114	85870
-0.81400	3316	89186
-0.81200	3327	92513
-0.81000	3433	95946
-0.80800	3437	99383
-0.80600	3425	102808
-0.80400	3347	106155
-0.80200	3454	109609
-0.80000	3637	113246
-0.79800	3758	117004
-0.79600	3793	120797
-0.79400	3741	124538
-0.79200	3907	128445
-0.79000	3938	132383
-0.78800	3950	136333
-0.78600	4046	140379
-0.78400	4111	144490
-0.78200	4118	148608
-0.78000	4212	152820
-0.77800	4139	156959
-0.77600	4299	161258
-0.77400	4453	165711
-0.77200	4261	169972
-0.77000	4388	174360
-0.76800	4546	178906
-0.76600	4492	183398
-0.76400	4639	188037
-0.76200	4619	192656
-0.76000	4595	197251
-0.75800	4522	201773
-0.75600	4604	206377
-0.75400	4766	211143
-0.75200	4798	215941
-0.75000	4774	220715
-0.74800	4729	225444
-0.74600	4881	230325
-0.74400	4861	235186
-0.74200	5027	240213
-0.74000	4883	245096
-0.73800	4927	250023
-0.73600	5094	255117
-0.73400	5068	260185
-0.73200	5194	265379
-0.73000	5048	270427
-0.72800	5173	275600
-0.72600	5255	280855
-0.72400	5282	286137
-0.72200	5172	291309
-0.72000	5241	296550
-0.71800	5294	301844
-0.71600	5298	307142
