#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	0	0
-0.97000	0	0
-0.96800	0	0
-0.96600	0	0
-0.96400	0	0
-0.96200	0	0
-0.96000	0	0
-0.95800	0	0
-0.95600	0	0
-0.95400	5	5
-0.95200	4	9
-0.95000	10	19
-0.94800	6	25
-0.94600	17	42
-0.94400	15	57
-0.94200	23	80
-0.94000	39	119
-0.93800	45	164
-0.93600	43	207
-0.93400	66	273
-0.93200	87	360
-0.93000	70	430
-0.92800	109	539
-0.92600	135	674
-0.92400	152	826
-0.92200	205	1031
-0.92000	199	1230
-0.91800	231	1461
-0.91600	275	1736
-0.91400	269	2005
-0.91200	334	2339
-0.91000	398	2737
-0.90800	383	3120
-0.90600	428	3548
-0.90400	454	4002
-0.90200	501	4503
-0.90000	525	5028
-0.89800	590	5618
-0.89600	590	6208
-0.89400	694	6902
-0.89200	707	7609
-0.89000	742	8351
-0.88800	745	9096
-0.88600	828	9924
-0.88400	864	10788
-0.88200	958	11746
-0.88000	985	12731
-0.87800	968	13699
-0.87600	1060	14759
-0.87400	1137	15896
-0.87200	1215	17111
-0.87000	1253	18364
-0.86800	1276	19640
-0.86600	1380	21020
-0.86400	1398	22418
-0.86200	1403	23821
-0.86000	1443	25264
-0.85800	1558	26822
-0.85600	1546	28368
-0.85400	1648	30016
-0.85200	1810	31826
-0.85000	1796	33622
-0.84800	1802	35424
-0.84600	1883	37307
-0.84400	1817	39124
-0.84200	2082	41206
-0.84000	2025	43231
-0.83800	2088	45319
-0.83600	2128	47447
-0.83400	2266	49713
-0.83200	2326	52039
-0.83000	2261	54300
-0.82800	2453	56753
-0.82600	2470	59223
-0.82400	2444	61667
-0.82200	2524	64191
-0.82000	2620	66811
-0.81800	2516	69327
-0.81600	2593	71920
-0.81400	2807	74727
-0.81200	2785	77512
-0.81000	2876	80388
-0.80800	2886	83274
-0.80600	2885	86159
-0.80400	2800	88959
-0.80200	2921	91880
-0.80000	3084	94964
-0.79800	3181	98145
-0.79600	3195	101340
-0.79400	3168	104508
-0.79200	3321	107829
-0.79000	3275	111104
-0.78800	3309	114413
-0.78600	3393	117806
-0.78400	3397	121203
-0.78200	3474	124677
-0.78000	3551	128228
-0.77800	3441	131669
-0.77600	3644	135313
-0.77400	3743	139056
-0.77200	3581	142637
-0.77000	3650	146287
-0.76800	3779	150066
-0.76600	3729	153795
-0.76400	3894	157689
-0.76200	3857	161546
-0.76000	3847	165393
-0.75800	3777	169170
-0.75600	3835	173005
-0.75400	3987	176992
-0.75200	4025	181017
-0.75000	4030	185047
-0.74800	3946	188993
-0.74600	4115	193108
-0.74400	4103	197211
-0.74200	4210	201421
-0.74000	4120	205541
-0.73800	4059	209600
-0.73600	4263	213863
-0.73400	4250	218113
-0.73200	4371	222484
-0.73000	4298	226782
-0.72800	4355	231137
-0.72600	4428	235565
-0.72400	4456	240021
-0.72200	4327	244348
-0.72000	4389	248737
-0.71800	4425	253162
-0.71600	4453	257615
-0.71400	4548	262163
