#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	0	0
-0.97000	0	0
-0.96800	0	0
-0.96600	0	0
-0.96400	0	0
-0.96200	0	0
-0.96000	0	0
-0.95800	0	0
-0.95600	0	0
-0.95400	3	3
-0.95200	0	3
-0.95000	5	8
-0.94800	4	12
-0.94600	7	19
-0.94400	5	24
-0.94200	11	35
-0.94000	16	51
-0.93800	19	70
-0.93600	17	87
-0.93400	32	119
-0.93200	36	155
-0.93000	34	189
-0.92800	46	235
-0.92600	75	310
-0.92400	81	391
-0.92200	80	471
-0.92000	94	565
-0.91800	106	671
-0.91600	141	812
-0.91400	131	943
-0.91200	169	1112
-0.91000	188	1300
-0.90800	178	1478
-0.90600	202	1680
-0.90400	217	1897
-0.90200	235	2132
-0.90000	248	2380
-0.89800	256	2636
-0.89600	300	2936
-0.89400	322	3258
-0.89200	332	3590
-0.89000	337	3927
-0.88800	361	4288
-0.88600	383	4671
-0.88400	418	5089
-0.88200	467	5556
-0.88000	461	6017
-0.87800	451	6468
-0.87600	505	6973
-0.87400	526	7499
-0.87200	562	8061
-0.87000	580	8641
-0.86800	613	9254
-0.86600	638	9892
-0.86400	630	10522
-0.86200	660	11182
-0.86000	644	11826
-0.85800	741	12567
-0.85600	714	13281
-0.85400	759	14040
-0.85200	844	14884
-0.85000	812	15696
-0.84800	832	16528
-0.84600	878	17406
-0.84400	812	18218
-0.84200	949	19167
-0.84000	948	20115
-0.83800	957	21072
-0.83600	974	22046
-0.83400	1072	23118
-0.83200	1093	24211
-0.83000	1036	25247
-0.82800	1114	26361
-0.82600	1096	27457
-0.82400	1153	28610
-0.82200	1142	29752
-0.82000	1218	30970
-0.81800	1201	32171
-0.81600	1169	33340
-0.81400	1286	34626
-0.81200	1330	35956
-0.81000	1322	37278
-0.80800	1341	38619
-0.80600	1294	39913
-0.80400	1247	41160
-0.80200	1346	42506
-0.80000	1370	43876
-0.79800	1465	45341
-0.79600	1488	46829
-0.79400	1448	48277
-0.79200	1491	49768
-0.79000	1494	51262
-0.78800	1562	52824
-0.78600	1520	54344
-0.78400	1590	55934
-0.78200	1539	57473
-0.78000	1626	59099
-0.77800	1563	60662
-0.77600	1665	62327
-0.77400	1714	64041
-0.77200	1586	65627
-0.77000	1691	67318
-0.76800	1784	69102
-0.76600	1657	70759
-0.76400	1792	72551
-0.76200	1800	74351
-0.76000	1765	76116
-0.75800	1797	77913
-0.75600	1801	79714
-0.75400	1796	81510
-0.75200	1848	83358
-0.75000	1843	85201
-0.74800	1860	87061
-0.74600	1902	88963
-0.74400	1864	90827
-0.74200	1948	92775
-0.74000	1924	94699
-0.73800	1849	96548
-0.73600	1994	98542
-0.73400	1943	100485
-0.73200	2018	102503
-0.73000	1997	104500
-0.72800	2063	106563
-0.72600	2060	108623
-0.72400	2094	110717
-0.72200	2040	112757
-0.72000	2045	114802
-0.71800	1978	116780
-0.71600	2084	118864
-0.71400	2122	120986
-0.71200	2109	123095
-0.71000	2156	125251
