#Lambda			voids		sheets		filaments	knots
0.00000e+00		1.03935e-03	1.38560e-01	6.32338e-01	2.28063e-01
1.01010e-02		2.01389e-03	1.59618e-01	6.24894e-01	2.13475e-01
2.02020e-02		3.57870e-03	1.82613e-01	6.14454e-01	1.99354e-01
3.03030e-02		6.25000e-03	2.05426e-01	6.03021e-01	1.85303e-01
4.04040e-02		1.00023e-02	2.28222e-01	5.90764e-01	1.71012e-01
5.05051e-02		1.50185e-02	2.52458e-01	5.75924e-01	1.56600e-01
6.06061e-02		2.18519e-02	2.76488e-01	5.59292e-01	1.42368e-01
7.07071e-02		3.04745e-02	3.00380e-01	5.40345e-01	1.28801e-01
8.08081e-02		4.11505e-02	3.23644e-01	5.19801e-01	1.15405e-01
9.09091e-02		5.37014e-02	3.44234e-01	4.98250e-01	1.03815e-01
1.01010e-01		6.79676e-02	3.63514e-01	4.75343e-01	9.31759e-02
1.11111e-01		8.35648e-02	3.80870e-01	4.52083e-01	8.34815e-02
1.21212e-01		1.00412e-01	3.95755e-01	4.29208e-01	7.46250e-02
1.31313e-01		1.18113e-01	4.08722e-01	4.06479e-01	6.66852e-02
1.41414e-01		1.36442e-01	4.19356e-01	3.84442e-01	5.97593e-02
1.51515e-01		1.55840e-01	4.27583e-01	3.62815e-01	5.37616e-02
1.61616e-01		1.74944e-01	4.34437e-01	3.42317e-01	4.83009e-02
1.71717e-01		1.94961e-01	4.39238e-01	3.22310e-01	4.34907e-02
1.81818e-01		2.14981e-01	4.42192e-01	3.03738e-01	3.90880e-02
1.91919e-01		2.34699e-01	4.43609e-01	2.86380e-01	3.53125e-02
2.02020e-01		2.54241e-01	4.44201e-01	2.69600e-01	3.19583e-02
2.12121e-01		2.73907e-01	4.43688e-01	2.53396e-01	2.90093e-02
2.22222e-01		2.93109e-01	4.41894e-01	2.38708e-01	2.62894e-02
2.32323e-01		3.12644e-01	4.38354e-01	2.25072e-01	2.39306e-02
2.42424e-01		3.31377e-01	4.34988e-01	2.11900e-01	2.17338e-02
