#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	0	0
-0.94750	0	0
-0.94225	0	0
-0.93700	0	0
-0.93175	0	0
-0.92650	1	1
-0.92125	0	1
-0.91600	0	1
-0.91075	0	1
-0.90550	1	2
-0.90025	3	5
-0.89500	7	12
-0.88975	6	18
-0.88450	11	29
-0.87925	10	39
-0.87400	7	46
-0.86875	14	60
-0.86350	11	71
-0.85825	14	85
-0.85300	16	101
-0.84775	16	117
-0.84250	16	133
-0.83725	14	147
-0.83200	19	166
-0.82675	31	197
-0.82150	31	228
-0.81625	33	261
-0.81100	44	305
-0.80575	36	341
-0.80050	41	382
-0.79525	54	436
-0.79000	38	474
-0.78475	43	517
-0.77950	55	572
-0.77425	54	626
-0.76900	68	694
-0.76375	58	752
-0.75850	69	821
-0.75325	52	873
-0.74800	46	919
-0.74275	72	991
-0.73750	66	1057
-0.73225	87	1144
-0.72700	62	1206
-0.72175	55	1261
-0.71650	75	1336
-0.71125	74	1410
-0.70600	88	1498
-0.70075	88	1586
-0.69550	102	1688
-0.69025	89	1777
-0.68500	84	1861
-0.67975	87	1948
-0.67450	101	2049
-0.66925	94	2143
-0.66400	94	2237
-0.65875	113	2350
-0.65350	91	2441
-0.64825	93	2534
-0.64300	108	2642
-0.63775	111	2753
-0.63250	115	2868
-0.62725	109	2977
-0.62200	112	3089
-0.61675	112	3201
-0.61150	102	3303
-0.60625	131	3434
-0.60100	112	3546
-0.59575	122	3668
-0.59050	106	3774
-0.58525	108	3882
-0.58000	126	4008
-0.57475	137	4145
-0.56950	137	4282
-0.56425	127	4409
-0.55900	138	4547
-0.55375	146	4693
-0.54850	135	4828
-0.54325	144	4972
-0.53800	145	5117
-0.53275	136	5253
-0.52750	140	5393
-0.52225	130	5523
-0.51700	129	5652
-0.51175	132	5784
-0.50650	151	5935
-0.50125	145	6080
-0.49600	148	6228
-0.49075	141	6369
-0.48550	159	6528
-0.48025	150	6678
-0.47500	160	6838
-0.46975	149	6987
-0.46450	137	7124
-0.45925	144	7268
-0.45400	146	7414
-0.44875	158	7572
-0.44350	143	7715
-0.43825	146	7861
-0.43300	168	8029
-0.42775	137	8166
-0.42250	166	8332
-0.41725	149	8481
-0.41200	145	8626
-0.40675	171	8797
-0.40150	168	8965
-0.39625	159	9124
-0.39100	144	9268
-0.38575	138	9406
-0.38050	159	9565
-0.37525	162	9727
-0.37000	154	9881
-0.36475	151	10032
-0.35950	167	10199
-0.35425	163	10362
-0.34900	163	10525
-0.34375	165	10690
-0.33850	154	10844
-0.33325	137	10981
-0.32800	156	11137
-0.32275	166	11303
-0.31750	142	11445
-0.31225	130	11575
-0.30700	157	11732
-0.30175	147	11879
-0.29650	181	12060
-0.29125	168	12228
-0.28600	146	12374
-0.28075	153	12527
-0.27550	181	12708
-0.27025	160	12868
-0.26500	179	13047
-0.25975	170	13217
-0.25450	171	13388
-0.24925	168	13556
-0.24400	173	13729
-0.23875	170	13899
-0.23350	133	14032
-0.22825	145	14177
-0.22300	147	14324
-0.21775	166	14490
-0.21250	164	14654
-0.20725	175	14829
-0.20200	162	14991
-0.19675	165	15156
-0.19150	152	15308
-0.18625	156	15464
-0.18100	159	15623
-0.17575	149	15772
-0.17050	184	15956
-0.16525	161	16117
-0.16000	185	16302
-0.15475	178	16480
-0.14950	169	16649
-0.14425	177	16826
-0.13900	167	16993
-0.13375	161	17154
-0.12850	164	17318
-0.12325	167	17485
-0.11800	156	17641
-0.11275	163	17804
-0.10750	150	17954
-0.10225	160	18114
-0.09700	172	18286
-0.09175	195	18481
-0.08650	195	18676
-0.08125	170	18846
-0.07600	162	19008
-0.07075	160	19168
-0.06550	146	19314
-0.06025	171	19485
-0.05500	161	19646
-0.04975	166	19812
-0.04450	158	19970
-0.03925	161	20131
-0.03400	177	20308
-0.02875	162	20470
-0.02350	146	20616
-0.01825	173	20789
-0.01300	134	20923
-0.00775	168	21091
-0.00250	157	21248
0.00275	151	21399
0.00800	145	21544
0.01325	166	21710
0.01850	148	21858
0.02375	160	22018
0.02900	144	22162
0.03425	164	22326
0.03950	180	22506
0.04475	159	22665
0.05000	167	22832
0.05525	181	23013
0.06050	154	23167
0.06575	151	23318
0.07100	160	23478
0.07625	180	23658
0.08150	169	23827
0.08675	169	23996
0.09200	150	24146
0.09725	163	24309
0.10250	161	24470
0.10775	164	24634
0.11300	146	24780
0.11825	160	24940
0.12350	170	25110
0.12875	150	25260
0.13400	173	25433
0.13925	172	25605
0.14450	140	25745
0.14975	152	25897
0.15500	162	26059
0.16025	157	26216
0.16550	141	26357
0.17075	159	26516
0.17600	168	26684
0.18125	154	26838
0.18650	151	26989
0.19175	159	27148
0.19700	153	27301
0.20225	141	27442
0.20750	168	27610
0.21275	154	27764
0.21800	151	27915
0.22325	156	28071
0.22850	144	28215
0.23375	159	28374
0.23900	163	28537
0.24425	143	28680
0.24950	168	28848
0.25475	137	28985
0.26000	166	29151
0.26525	134	29285
0.27050	156	29441
0.27575	143	29584
0.28100	143	29727
0.28625	169	29896
0.29150	139	30035
0.29675	130	30165
0.30200	148	30313
0.30725	148	30461
0.31250	135	30596
0.31775	133	30729
0.32300	145	30874
0.32825	140	31014
0.33350	132	31146
0.33875	142	31288
0.34400	134	31422
0.34925	158	31580
0.35450	141	31721
0.35975	143	31864
