#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	0	0
-0.94750	0	0
-0.94225	1	1
-0.93700	4	5
-0.93175	6	11
-0.92650	8	19
-0.92125	9	28
-0.91600	21	49
-0.91075	36	85
-0.90550	32	117
-0.90025	47	164
-0.89500	61	225
-0.88975	67	292
-0.88450	95	387
-0.87925	116	503
-0.87400	117	620
-0.86875	148	768
-0.86350	150	918
-0.85825	221	1139
-0.85300	197	1336
-0.84775	214	1550
-0.84250	248	1798
-0.83725	281	2079
-0.83200	291	2370
-0.82675	296	2666
-0.82150	327	2993
-0.81625	375	3368
-0.81100	440	3808
-0.80575	414	4222
-0.80050	418	4640
-0.79525	492	5132
-0.79000	501	5633
-0.78475	503	6136
-0.77950	554	6690
-0.77425	534	7224
-0.76900	563	7787
-0.76375	610	8397
-0.75850	637	9034
-0.75325	628	9662
-0.74800	639	10301
-0.74275	728	11029
-0.73750	701	11730
-0.73225	764	12494
-0.72700	798	13292
-0.72175	758	14050
-0.71650	813	14863
-0.71125	820	15683
-0.70600	863	16546
-0.70075	927	17473
-0.69550	927	18400
-0.69025	961	19361
-0.68500	933	20294
-0.67975	947	21241
-0.67450	1007	22248
-0.66925	939	23187
-0.66400	972	24159
-0.65875	962	25121
-0.65350	1075	26196
-0.64825	1037	27233
-0.64300	1050	28283
-0.63775	1085	29368
-0.63250	1147	30515
-0.62725	1095	31610
-0.62200	1124	32734
-0.61675	1156	33890
-0.61150	1188	35078
-0.60625	1196	36274
-0.60100	1205	37479
-0.59575	1211	38690
-0.59050	1208	39898
-0.58525	1237	41135
-0.58000	1252	42387
-0.57475	1267	43654
-0.56950	1332	44986
-0.56425	1294	46280
-0.55900	1352	47632
-0.55375	1302	48934
-0.54850	1424	50358
-0.54325	1399	51757
-0.53800	1406	53163
-0.53275	1366	54529
-0.52750	1370	55899
-0.52225	1356	57255
-0.51700	1323	58578
-0.51175	1410	59988
-0.50650	1439	61427
-0.50125	1438	62865
-0.49600	1519	64384
-0.49075	1513	65897
-0.48550	1474	67371
-0.48025	1480	68851
-0.47500	1499	70350
-0.46975	1482	71832
-0.46450	1526	73358
-0.45925	1432	74790
-0.45400	1532	76322
-0.44875	1515	77837
-0.44350	1474	79311
-0.43825	1508	80819
-0.43300	1523	82342
-0.42775	1540	83882
-0.42250	1526	85408
-0.41725	1483	86891
-0.41200	1541	88432
-0.40675	1451	89883
-0.40150	1567	91450
-0.39625	1589	93039
-0.39100	1524	94563
-0.38575	1534	96097
-0.38050	1625	97722
-0.37525	1634	99356
-0.37000	1605	100961
-0.36475	1618	102579
-0.35950	1559	104138
-0.35425	1480	105618
-0.34900	1557	107175
-0.34375	1577	108752
-0.33850	1529	110281
-0.33325	1530	111811
-0.32800	1562	113373
-0.32275	1609	114982
-0.31750	1549	116531
-0.31225	1517	118048
-0.30700	1629	119677
-0.30175	1580	121257
-0.29650	1530	122787
-0.29125	1585	124372
-0.28600	1613	125985
-0.28075	1578	127563
-0.27550	1605	129168
-0.27025	1605	130773
-0.26500	1648	132421
-0.25975	1569	133990
-0.25450	1567	135557
-0.24925	1655	137212
-0.24400	1588	138800
-0.23875	1567	140367
-0.23350	1594	141961
-0.22825	1669	143630
-0.22300	1603	145233
-0.21775	1627	146860
-0.21250	1607	148467
-0.20725	1642	150109
-0.20200	1616	151725
-0.19675	1601	153326
-0.19150	1584	154910
-0.18625	1543	156453
-0.18100	1571	158024
-0.17575	1517	159541
-0.17050	1604	161145
-0.16525	1661	162806
-0.16000	1672	164478
-0.15475	1607	166085
-0.14950	1604	167689
-0.14425	1549	169238
-0.13900	1623	170861
-0.13375	1560	172421
-0.12850	1569	173990
-0.12325	1562	175552
-0.11800	1683	177235
-0.11275	1595	178830
-0.10750	1632	180462
-0.10225	1568	182030
-0.09700	1616	183646
-0.09175	1600	185246
-0.08650	1556	186802
-0.08125	1559	188361
-0.07600	1522	189883
-0.07075	1540	191423
-0.06550	1564	192987
-0.06025	1620	194607
-0.05500	1569	196176
-0.04975	1562	197738
-0.04450	1573	199311
-0.03925	1582	200893
-0.03400	1559	202452
-0.02875	1478	203930
-0.02350	1600	205530
-0.01825	1558	207088
-0.01300	1550	208638
-0.00775	1529	210167
-0.00250	1559	211726
0.00275	1557	213283
0.00800	1542	214825
0.01325	1506	216331
0.01850	1533	217864
0.02375	1608	219472
0.02900	1531	221003
0.03425	1609	222612
0.03950	1536	224148
0.04475	1520	225668
0.05000	1514	227182
0.05525	1614	228796
0.06050	1537	230333
0.06575	1552	231885
0.07100	1528	233413
0.07625	1526	234939
0.08150	1528	236467
0.08675	1612	238079
0.09200	1451	239530
0.09725	1559	241089
0.10250	1504	242593
0.10775	1518	244111
0.11300	1455	245566
0.11825	1470	247036
0.12350	1519	248555
0.12875	1504	250059
0.13400	1453	251512
0.13925	1443	252955
0.14450	1506	254461
0.14975	1468	255929
0.15500	1527	257456
0.16025	1478	258934
0.16550	1512	260446
0.17075	1437	261883
0.17600	1524	263407
0.18125	1464	264871
0.18650	1482	266353
0.19175	1494	267847
0.19700	1442	269289
0.20225	1393	270682
0.20750	1458	272140
0.21275	1526	273666
0.21800	1531	275197
0.22325	1477	276674
0.22850	1377	278051
0.23375	1476	279527
0.23900	1510	281037
0.24425	1361	282398
0.24950	1386	283784
0.25475	1381	285165
