#\delta	Number of cells	Cumulative
0.47525	1217	322628
0.48050	1239	323867
0.48575	1256	325123
0.49100	1218	326341
0.49625	1185	327526
0.50150	1247	328773
0.50675	1164	329937
0.51200	1173	331110
0.51725	1188	332298
0.52250	1171	333469
0.52775	1224	334693
0.53300	1162	335855
0.53825	1231	337086
0.54350	1154	338240
0.54875	1170	339410
0.55400	1182	340592
0.55925	1220	341812
0.56450	1195	343007
0.56975	1199	344206
0.57500	1165	345371
0.58025	1135	346506
0.58550	1154	347660
0.59075	1139	348799
0.59600	1142	349941
0.60125	1117	351058
0.60650	1084	352142
0.61175	1155	353297
0.61700	1195	354492
0.62225	1147	355639
0.62750	1039	356678
0.63275	1105	357783
0.63800	1090	358873
0.64325	1088	359961
0.64850	1124	361085
0.65375	1138	362223
0.65900	1160	363383
0.66425	1085	364468
0.66950	1124	365592
0.67475	1078	366670
0.68000	1075	367745
0.68525	1086	368831
0.69050	1138	369969
0.69575	1113	371082
0.70100	1144	372226
0.70625	1091	373317
0.71150	1148	374465
0.71675	1092	375557
0.72200	1067	376624
0.72725	1100	377724
0.73250	1038	378762
0.73775	1129	379891
0.74300	1149	381040
0.74825	1054	382094
0.75350	1089	383183
0.75875	1082	384265
0.76400	1072	385337
0.76925	1027	386364
0.77450	1046	387410
0.77975	1069	388479
0.78500	1001	389480
0.79025	1063	390543
0.79550	1051	391594
0.80075	963	392557
0.80600	1041	393598
0.81125	1035	394633
0.81650	991	395624
0.82175	1023	396647
0.82700	1072	397719
0.83225	988	398707
0.83750	1021	399728
0.84275	1039	400767
0.84800	983	401750
0.85325	1056	402806
0.85850	1048	403854
0.86375	964	404818
0.86900	963	405781
0.87425	1034	406815
0.87950	1011	407826
0.88475	937	408763
0.89000	1002	409765
0.89525	1063	410828
0.90050	926	411754
0.90575	988	412742
0.91100	917	413659
0.91625	969	414628
0.92150	940	415568
0.92675	992	416560
0.93200	969	417529
0.93725	998	418527
0.94250	951	419478
0.94775	945	420423
0.95300	999	421422
0.95825	936	422358
0.96350	971	423329
0.96875	951	424280
0.97400	997	425277
0.97925	964	426241
0.98450	981	427222
0.98975	888	428110
0.99500	931	429041
1.00025	938	429979
1.00550	868	430847
1.01075	964	431811
1.01600	947	432758
1.02125	898	433656
1.02650	934	434590
1.03175	880	435470
1.03700	942	436412
1.04225	902	437314
1.04750	888	438202
1.05275	915	439117
1.05800	927	440044
1.06325	931	440975
1.06850	866	441841
1.07375	855	442696
1.07900	848	443544
1.08425	904	444448
1.08950	961	445409
1.09475	879	446288
1.10000	898	447186
1.10525	891	448077
1.11050	890	448967
1.11575	861	449828
1.12100	866	450694
1.12625	907	451601
1.13150	850	452451
1.13675	875	453326
1.14200	936	454262
1.14725	894	455156
1.15250	865	456021
1.15775	836	456857
1.16300	905	457762
1.16825	870	458632
1.17350	886	459518
1.17875	835	460353
1.18400	856	461209
1.18925	879	462088
1.19450	793	462881
1.19975	841	463722
1.20500	873	464595
1.21025	836	465431
1.21550	839	466270
1.22075	814	467084
1.22600	790	467874
1.23125	826	468700
1.23650	839	469539
1.24175	848	470387
1.24700	842	471229
1.25225	855	472084
1.25750	792	472876
1.26275	817	473693
1.26800	861	474554
1.27325	744	475298
1.27850	856	476154
1.28375	832	476986
1.28900	777	477763
1.29425	752	478515
1.29950	804	479319
1.30475	797	480116
1.31000	750	480866
1.31525	797	481663
1.32050	857	482520
1.32575	792	483312
1.33100	804	484116
1.33625	743	484859
1.34150	772	485631
1.34675	752	486383
1.35200	774	487157
1.35725	756	487913
1.36250	777	488690
1.36775	787	489477
1.37300	766	490243
1.37825	746	490989
1.38350	771	491760
1.38875	763	492523
1.39400	689	493212
1.39925	761	493973
1.40450	716	494689
1.40975	734	495423
1.41500	681	496104
1.42025	765	496869
1.42550	812	497681
1.43075	740	498421
1.43600	735	499156
1.44125	715	499871
1.44650	712	500583
1.45175	778	501361
1.45700	695	502056
1.46225	683	502739
1.46750	774	503513
1.47275	700	504213
1.47800	759	504972
1.48325	733	505705
1.48850	748	506453
1.49375	698	507151
1.49900	691	507842
1.50425	708	508550
1.50950	708	509258
1.51475	730	509988
1.52000	678	510666
1.52525	671	511337
1.53050	658	511995
1.53575	728	512723
1.54100	696	513419
1.54625	673	514092
1.55150	707	514799
1.55675	681	515480
1.56200	730	516210
1.56725	690	516900
1.57250	705	517605
1.57775	680	518285
1.58300	661	518946
1.58825	669	519615
1.59350	624	520239
1.59875	649	520888
1.60400	678	521566
1.60925	686	522252
1.61450	664	522916
1.61975	670	523586
1.62500	646	524232
1.63025	713	524945
1.63550	659	525604
1.64075	676	526280
1.64600	661	526941
1.65125	643	527584
