#\delta	Number of cells	Cumulative
-0.44800	3940	575369
-0.44600	3923	579292
-0.44400	4060	583352
-0.44200	4008	587360
-0.44000	4066	591426
-0.43800	4020	595446
-0.43600	3968	599414
-0.43400	3976	603390
-0.43200	4080	607470
-0.43000	4150	611620
-0.42800	4148	615768
-0.42600	4150	619918
-0.42400	4115	624033
-0.42200	4074	628107
-0.42000	4178	632285
-0.41800	4132	636417
-0.41600	4016	640433
-0.41400	4086	644519
-0.41200	4155	648674
-0.41000	4000	652674
-0.40800	4014	656688
-0.40600	4050	660738
-0.40400	4137	664875
-0.40200	4264	669139
-0.40000	4155	673294
-0.39800	4119	677413
-0.39600	4112	681525
-0.39400	4071	685596
-0.39200	4073	689669
-0.39000	4006	693675
-0.38800	4070	697745
-0.38600	4021	701766
-0.38400	4215	705981
-0.38200	4063	710044
-0.38000	4193	714237
-0.37800	4211	718448
-0.37600	4114	722562
-0.37400	4114	726676
-0.37200	4223	730899
-0.37000	4202	735101
-0.36800	4096	739197
-0.36600	4176	743373
-0.36400	4234	747607
-0.36200	4177	751784
-0.36000	4077	755861
-0.35800	4157	760018
-0.35600	4079	764097
-0.35400	4211	768308
-0.35200	4153	772461
-0.35000	4137	776598
-0.34800	4210	780808
-0.34600	4079	784887
-0.34400	4330	789217
-0.34200	4175	793392
-0.34000	4349	797741
-0.33800	4188	801929
-0.33600	4167	806096
-0.33400	4159	810255
-0.33200	4230	814485
-0.33000	4195	818680
-0.32800	4182	822862
-0.32600	4286	827148
-0.32400	4195	831343
-0.32200	4264	835607
-0.32000	4198	839805
-0.31800	4182	843987
-0.31600	4206	848193
-0.31400	4147	852340
-0.31200	4160	856500
-0.31000	4242	860742
-0.30800	4242	864984
-0.30600	4189	869173
-0.30400	4182	873355
-0.30200	4119	877474
-0.30000	4203	881677
-0.29800	4176	885853
-0.29600	4264	890117
-0.29400	4159	894276
-0.29200	4254	898530
-0.29000	4302	902832
-0.28800	4187	907019
-0.28600	4277	911296
-0.28400	4205	915501
-0.28200	4258	919759
-0.28000	4228	923987
-0.27800	4211	928198
-0.27600	4162	932360
-0.27400	4238	936598
-0.27200	4294	940892
-0.27000	4180	945072
-0.26800	4293	949365
-0.26600	4307	953672
-0.26400	4131	957803
-0.26200	4269	962072
-0.26000	4128	966200
-0.25800	4154	970354
-0.25600	4248	974602
-0.25400	4234	978836
-0.25200	4166	983002
-0.25000	4325	987327
-0.24800	4160	991487
-0.24600	4239	995726
-0.24400	4269	999995
-0.24200	4221	1004216
-0.24000	4156	1008372
-0.23800	4187	1012559
-0.23600	4275	1016834
-0.23400	4115	1020949
-0.23200	4204	1025153
-0.23000	4264	1029417
-0.22800	4174	1033591
-0.22600	4146	1037737
-0.22400	4241	1041978
-0.22200	4303	1046281
-0.22000	4221	1050502
-0.21800	4242	1054744
-0.21600	4204	1058948
-0.21400	4299	1063247
-0.21200	4282	1067529
-0.21000	4296	1071825
-0.20800	4195	1076020
-0.20600	4235	1080255
-0.20400	4286	1084541
-0.20200	4114	1088655
-0.20000	4277	1092932
-0.19800	4058	1096990
-0.19600	4175	1101165
-0.19400	4194	1105359
-0.19200	4187	1109546
-0.19000	4189	1113735
-0.18800	4187	1117922
-0.18600	4195	1122117
-0.18400	4096	1126213
-0.18200	4275	1130488
-0.18000	4176	1134664
-0.17800	4132	1138796
-0.17600	4179	1142975
-0.17400	4166	1147141
-0.17200	4110	1151251
-0.17000	4145	1155396
-0.16800	4241	1159637
-0.16600	4114	1163751
-0.16400	4222	1167973
-0.16200	4145	1172118
-0.16000	4276	1176394
