#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	0	0
-0.97000	2	2
-0.96800	11	13
-0.96600	12	25
-0.96400	34	59
-0.96200	41	100
-0.96000	65	165
-0.95800	90	255
-0.95600	161	416
-0.95400	250	666
-0.95200	347	1013
-0.95000	469	1482
-0.94800	574	2056
-0.94600	798	2854
-0.94400	1017	3871
-0.94200	1219	5090
-0.94000	1494	6584
-0.93800	1838	8422
-0.93600	2087	10509
-0.93400	2579	13088
-0.93200	2986	16074
-0.93000	3481	19555
-0.92800	3941	23496
-0.92600	4402	27898
-0.92400	5004	32902
-0.92200	5481	38383
-0.92000	6208	44591
-0.91800	6775	51366
-0.91600	7615	58981
-0.91400	8032	67013
-0.91200	8847	75860
-0.91000	9456	85316
-0.90800	10173	95489
-0.90600	11033	106522
-0.90400	11578	118100
-0.90200	12420	130520
-0.90000	12965	143485
-0.89800	13878	157363
-0.89600	14643	172006
-0.89400	15489	187495
-0.89200	16019	203514
-0.89000	16762	220276
-0.88800	17481	237757
-0.88600	18185	255942
-0.88400	18910	274852
-0.88200	19557	294409
-0.88000	20201	314610
-0.87800	21183	335793
-0.87600	21654	357447
-0.87400	22302	379749
-0.87200	23025	402774
-0.87000	23835	426609
-0.86800	24303	450912
-0.86600	24916	475828
-0.86400	25812	501640
-0.86200	26122	527762
-0.86000	26661	554423
-0.85800	27261	581684
-0.85600	27547	609231
-0.85400	28043	637274
-0.85200	29023	666297
-0.85000	29509	695806
-0.84800	29758	725564
-0.84600	30660	756224
-0.84400	31079	787303
-0.84200	31238	818541
-0.84000	31946	850487
-0.83800	32248	882735
-0.83600	32699	915434
-0.83400	33197	948631
-0.83200	33518	982149
-0.83000	34095	1016244
-0.82800	34495	1050739
-0.82600	34802	1085541
-0.82400	34857	1120398
-0.82200	35325	1155723
-0.82000	35909	1191632
-0.81800	35774	1227406
-0.81600	35789	1263195
-0.81400	36154	1299349
-0.81200	36816	1336165
-0.81000	36694	1372859
-0.80800	36846	1409705
-0.80600	37214	1446919
-0.80400	37717	1484636
-0.80200	37538	1522174
-0.80000	37608	1559782
-0.79800	38246	1598028
-0.79600	37880	1635908
-0.79400	38115	1674023
-0.79200	38423	1712446
-0.79000	38633	1751079
-0.78800	38928	1790007
-0.78600	38812	1828819
-0.78400	39296	1868115
-0.78200	38973	1907088
-0.78000	39331	1946419
-0.77800	38914	1985333
-0.77600	39259	2024592
-0.77400	39578	2064170
-0.77200	39367	2103537
-0.77000	39390	2142927
-0.76800	39563	2182490
-0.76600	39257	2221747
-0.76400	39510	2261257
-0.76200	39258	2300515
-0.76000	39593	2340108
-0.75800	39406	2379514
-0.75600	39383	2418897
-0.75400	39288	2458185
-0.75200	39757	2497942
-0.75000	39534	2537476
-0.74800	39325	2576801
-0.74600	39144	2615945
-0.74400	39109	2655054
-0.74200	39463	2694517
-0.74000	38771	2733288
-0.73800	38803	2772091
-0.73600	38802	2810893
-0.73400	39007	2849900
-0.73200	38966	2888866
